dzoi,pubmed_id,title,subtype,affilname,affiliation_city,affiliation_country,author_names,publicationName,aggregationType,description,authkeywords,citedby_count,openaccess,score
10.1145/2696454.2696479,,When Children Teach a Robot to Write: An Autonomous Teachable Humanoid Which Uses Simulated Handwriting,cp,Ecole Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,"Hood, Deanna;Lemaignan, Séverin;Dillenbourg, Pierre",ACM/IEEE International Conference on Human-Robot Interaction,Conference Proceeding,"This article presents a novel robotic partner which children can teach handwriting. The system relies on the learning by teaching paradigm to build an interaction, so as to stimulate meta-cognition, empathy and increased self-esteem in the child user. We hypothesise that use of a humanoid robot in such a system could not just engage an unmotivated student, but could also present the opportunity for children to experience physically-induced benefits encountered during human-led handwriting interventions, such as motor mimicry. By leveraging simulated handwriting on a synchronised tablet display, a NAO humanoid robot with limited fine motor capabilities has been configured as a suitably embodied handwriting partner. Statistical shape models derived from principal component analysis of a dataset of adult-written letter trajectories allow the robot to draw purposefully deformed letters. By incorporating feedback from user demonstrations, the system is then able to learn the optimal parameters for the appropriate shape models. Preliminary in situ studies have been conducted with primary school classes to obtain insight into children's use of the novel system. Children aged 6-8 successfully engaged with the robot and improved its writing to a level which they were satisfied with. The validation of the interaction represents a significant step towards an innovative use for robotics which addresses a widespread and socially meaningful challenge in education.",education | human-robot interaction | learning by teaching,106,0,Not relevant
10.1109/ICAR.2011.6088586,,Gait synthesis for a three-legged robot using Learning Automata,cp,Instituto Tecnologico de Aeronautica,Sao Jose dos Campos,Brazil,"Dos Santos, Jeeves Lopes;Nascimento, Cairo Lúcio","IEEE 15th International Conference on Advanced Robotics: New Boundaries for Robotics, ICAR 2011",Conference Proceeding,"This article presents a solution to the problem of gait synthesis for a three-legged robot with three actuators in each leg. In other words, it is shown how to coordinate the robot leg actuators in order to maximize the robot walking speed. The position in time of each leg actuator is described by a periodic function that is found by using a reinforcement learning technique called Learning Automata. MATLAB/Simulink and the SimMechanics Toolbox are used to simulate possible solutions for the problem and the simulated robot response is evaluated at the end of each trial. After the reinforcement learning algorithm converges to a solution, it is applied to the real robot that was built using the Bioloid Comprehensive Kit, an educational robot kit manufactured by Robotis. The response of the real robot is then evaluated and compared with the simulated robot response. It is shown that proposed solution generates a quite satisfactory gait for the real robot. © 2011 IEEE.",,2,0,Not relevant
10.1590/s0103-17592012000100007,,Actuator coordination for legged mobile robots using reinforcement learning: Simulation and implementation,ar,Instituto Tecnologico de Aeronautica,Sao Jose dos Campos,Brazil,"Dos Santos, Jeeves Lopes;Nascimento, Cairo Lúcio",Controle y Automacao,Journal,"This article presents a solution to the problem of how to coordinate the actuators of a legged robot such that its frontal speed is maximized. It is assumed that the position of each leg actuator is described by a periodic function that has to be determined using a reinforcement learning technique called Learning Automata. Analysis of the robot morphology is used to group similar legs and decrease the number of actuator functions that must be determined. MATLAB/Simulink and the SimMechanics Toolbox are used to simulate the robot walking on a at surface. The simulated robot response is evaluated by the reinforcement learning technique considering: 1) the robot frontal speed, 2) the smoothness of the robot movements, 3) the largest torque required by all actuators, and 4) the energy consumption. After the reinforcement learning algorithm converges to a solution, the actuators functions are applied to the real robot that was built using the Bioloid Comprehensive Kit, an educational robot kit manufactured by Robotis. The response of the real robot is then evaluated and compared with the simulated robot response. This article presents two case studies: a quadrupedal robot and a tripedal robot. In both cases, each leg has three actuators. The solutions obtained by the proposed methodology are presented and shown to be satisfactory.",Applied Artificial Intelligence | Learning Automata | Legged Robots | Mobile Robotics | Reinforcement Learning | Walking Machines,2,1,Not relevant
10.1007/978-3-319-19291-8,,Natural Language Dialog Systems and Intelligent Assistants,bk,Gwangju Institute of Science and Technology;Pohang University of Science and Technology;Microsoft Corporation;Sogang University,Gwangju;Pohang;Redmond;Seoul,South Korea;South Korea;United States;South Korea,"Lee, Gary Geunbae;Kim, Hong Kook;Jeong, Minwoo;Kim, Ji Hwan",Natural Language Dialog Systems and Intelligent Assistants,Book,"This book covers state-of-the-art topics on the practical implementation of Spoken Dialog Systems and intelligent assistants in everyday applications. It presents scientific achievements in language processing that result in the development of successful applications and addresses general issues regarding the advances in Spoken Dialog Systems with applications in robotics, knowledge access and communication. Emphasis is placed on the following topics: speaker/language recognition, user modeling / simulation, evaluation of dialog system, multi-modality / emotion recognition from speech, speech data mining, language resource and databases, machine learning for spoken dialog systems and educational and healthcare applications.",,13,0,Not relevant
10.1016/B978-012372531-8.50032-7,,Creation of Structure-Function Relationships in the Design of a Simulation Center,ch,"Mayo Clinic;Mayo Clinic in Jacksonville, Florida",Rochester;Jacksonville,United States;United States,"Brost, Brian C.;Thiemann, Kay M.B.;Belda, Thomas E.;Dunn, William F.",Clinical Simulation,Book,"This chapter addresses the structural-functional relationships of the various simulation spaces and offers suggestions on how to plan both their physical designs and their uses to create an integrated whole where these diverse relationships complement and reinforce each other. You can design spaces for standardized patient encounters, task-trainer skills development, or full-body robotic patient simulator scenarios. Typically, for in-hospital care teachings, the latter are staged in rooms that look like the real environments that the simulated events are expected to occur in: the labor and delivery suite, operating rooms, emergency rooms, intensive care units, and patient recovery wards. The very presence of any heterogeneous structure inhabited by diverse users both generates and constrains the latter's relationships with, and utility from, the structure. Mindful use of structure-function relationships allows your simulation center to become a living entity that provides the optimal learning environment while being adaptable to a variety of learner-educator experiences and needs. Structure-function relationships are not intuitively obvious. It is more than the position of the walls, doors, and windows in your simulation space. You need to establish meaningful linkages in your simulation center between the basic scientific principles and clinical practice while being cognizant of what are the educationally important questions. In the educational realm, we have to be aware of not only the simulation-based learning principles, but also how the interactions of the learning environment affect the trainee, the actors, etc., during their educational endeavors. The chapter shares some of the thoughts of the designers and wise counsel from experienced operators of established simulation centers. © 2008 Elsevier Inc. All rights reserved.",,4,0,Not relevant
10.1007/978-1-4419-5716-0_3,,An embodied/grounded cognition perspective on educational technology,ch,Columbia University,New York,United States,"Black, John B.","New Science of Learning: Cognition, Computers and Collaboration in Education",Book,"This chapter applies perceptually grounded or embodied cognition to the design and use of educational technology to increase student learning and understanding. This approach uses various kinds of educational technology to create mental perceptual simulations of topics being learned in addition to the usual symbolic mental representations. The goal is to have students have a feel (the perceptual simulation) for the topics in addition to knowing (the symbolic representation) about them. Educational technologies covered include interactive graphic computer simulations using movement and animation, graphic simulations that involve force feedback in addition to interaction, video game playing and creation, and robot creation and programming. Research results have indicated that these embodied ways of using educational technologies increases student learning and understanding as shown by memory and problem solving tests. © Springer Science+Business Media, LLC 2010.",,27,0,Not relevant
10.4018/978-1-60960-797-5.ch007,,Problems first,ch,University of Northampton,Northampton,United Kingdom,"Hill, Gary;Turner, Scott",Software Industry-Oriented Education Practices and Curriculum Development: Experiences and Lessons,Book,"This chapter considers the need to focus initial programming education on problem-solving, in advance of programming syntax and software design methodology. The main vehicle for this approach is simple Lego based robots programmed in Java, followed by the programming of a graphical representation/ simulation to develop programming skills. Problem solving is not trivial (Beaumont & Fox, 2003) and is an important skill, central to computing and engineering. An approach will be considered, illustrated with a series of problem-solving tasks that increase in complexity at each stage and give the students practice in attempting problem-solving approaches, as well as assisting them to learn from their mistakes. Some of the problems include ambiguities or are purposely ill-defined, to enable the student to resolve these as part of the process. The benefits to students will be discussed including students' statements that this approach, using robots, provides a method to visually and physically see the outcome of a problem. In addition, students report that the method improves their satisfaction with the course. The importance of linking the problem-solving robot activity and the programming assignment, whilst maintaining the visual nature of the problem, will be discussed, together with the comparison of this work with similar work reported by other authors relating to teaching programming using robots (Williams, 2003). © 2011, IGI Global.",,0,0,Not relevant
10.1002/9781118577516.ch15,,Building of Open-Structure Wheel-Based Mobile Robotic Platform,ch,Institute Mihailo Pupin,Belgrade,Serbia,"Rodić, Aleksandar;Stojković, Ivan",Interdisciplinary Mechatronics: Engineering Science and Research Development,Book,"This chapter describes the development of an open-structure wheel-based mobile robotic platform and a complementary software simulator aimed at research, development and education, as well as the objective benchmarking of this kind of advanced mechatronic system. The main objectives of the work are concerned with solving the problems of development of an autonomous navigation system, motion planning and control of mobile robots in unstructured environments in the presence of mobile and immobile obstacles and system uncertainties such as a variation in tire-ground interaction. © 2013 by John Wiley & Sons, Inc.",Motion planning | Open-structure wheel-based mobile robotic platform | Software simulator | Tire-ground interaction,2,0,Relevant
10.1007/978-3-540-71364-7_26,,Internet-based tele-laboratory: Remote experiments using the SNRP distributed network architecture,ar,Universitat Politècnica de Catalunya;Universidad Jaume I,Barcelona;Castellon de la Plana,Spain;Spain,"Marín, Raúl;Wirz, Raúl;Sanz, Pedro J.;Fernández, Josep",Springer Tracts in Advanced Robotics,Book Series,"This chapter describes the way students at the UJI University (Jaume I University of Castellon) are able to design remote visual servoing experiments from any computer connected to the Internet. These experiments are able to control a set of real robotic devices such as manipulators, cameras, and sensors. It means the experiments are finally executed on real robots instead of 3D simulations. In fact, the experiments presented in this chapter focus on the on-hand visual servoing problem, which has been possible thanks to the images obtained from a camera mounted on the gripper of an educational robot. Moreover, the Distributed Network Architecture is presented, which permits any external algorithm to have access to the state and services of several network robots (e.g. robots control, network cameras, object recognition, etc) [17] [16]. We call this architecture SNRP (Simple Network Robot Protocol), due to the fact that commanding a robot via Internet follows a very simple Web Service protocol. Simplicity is maybe the most important challenge of a network robotics architecture, due to the fact that it must be possible for a very broad range of devices to be part of it. In fact, thanks to this simplicity we were able to implement a prototype of SNRP Network Camera using an FPGA. The last part of the article explains how the system can execute remoteexperiments that use several SNRP robots in a concurrent and synchronized manner. As an example two educational manipulators and a mobile robot are used to simulate an industrial task. © 2007 Springer-Verlag Berlin Heidelberg.",,2,0,Not relevant
10.1007/s11465-008-0056-8,,Task-space position/attitude tracking control of FAST fine tuning system,ar,Tsinghua University,Beijing,China,"Qi, Lin;Zhang, Hui;Duan, Guanghong",Frontiers of Mechanical Engineering in China,Journal,"This paper addresses the task-space position/attitude tracking control of a suspended parallel robot, which is being developed in the framework of a five-hundred meter aperture spherical radio telescope (FAST) project. Based on the quaternion algebra, a novel modelindependent task-space PD controller that ensures endeffector position and attitude tracking is presented. The simulation and experimental results show that the new controller has better control effects than the traditional joint-space controller. © 2008 Higher Education Press and Springer-Verlag GmbH.",Parallel robot | PD controller | Position and attitude track | Quaternion feedback | Stewart platform,1,0,Not relevant
10.1109/icdcsw.2004.1284044,,A multimedia environment for supporting the teaching of robotics systems,cp,"National Institute of Multimedia Education;Universidade Federal do Rio Grande do Sul;Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Chiba;Porto Alegre;Sao Paulo,Japan;Brazil;Brazil,"Freire, José C.;De Lima, José V.;Neves, Rodrigo A.;De Sena, Galeno J.",Proceedings - International Conference on Distributed Computing Systems,Conference Proceeding,"This paper aims at describing an educational system for teaching and learning robotic systems. Multimedia resources were used to construct a virtual laboratory where users are able to use functionalities of a virtual robotic arm, by moving and clicking the mouse without caring about the detailed internal robot operation. Moreover, through the multimedia system the user can interact with a real robot arm. The engineering students are the target public of the developed system. With its contents and interactive capabilities, it has been used as a support to the traditional face-to-face classes on the subject of robotics.. In the paper it is first introduced the metaphor of Virtual Laboratory used in the system. Next, it is described the Graphical and Multimedia Environment approach; an interactive graphic user interface with a 3D environment for simulation. Design and implementation issues of the real-time interactive multimedia learning system, which supports the W3C SMIL standard for presenting the real-time multimedia teaching material, are described. Finally, some preliminary conclusions and possible future works from this research are presented.",,4,0,Relevant
,,The design and implementation of the bio-robotic plant system,cp,National Pingtung University of Science and Technology,Pingtung,Taiwan,"Chang, Chung Liang;Sie, Ming Fong","American Society of Agricultural and Biological Engineers Annual International Meeting 2010, ASABE 2010",Conference Proceeding,"This paper applies the concept of bionics to digital life and utilizes bionics techniques to mimic the characteristics of creatures so as meet the demand of facility digitalized in all aspects of life. The paper proposes a bio-robotic plant system (BRPS), which can mimic the process of plant growth and combine sensor, photo-transistors and additional light source to mimic the behavior of plant phototropism. The criteria of this system is that BRPS initiates its growth and completes flowering process upon the proximity of humans and also the contact of light source. Then, four micro photo-transistors on the mosaic are utilized to receive the light source from four directions and microcontroller are adopted to detect each direction of light and select the maximum direction of light, where the flower moves towards finally. It is verified through simulation and experiment result that the growth of BRPS varies with the time of light contact upon the proximity of humans and abundant light. When the plant flowers, it turns towards the desired direction of light correctly. The system can improve the quality of human life, lead to the balance between body and mind and is also educational.",Bio-Robotic | Microcontroller,1,0,Not relevant
,,Experiences with virtual environment and remote laboratory for teaching and learning robotics at the university of alicante,ar,Universitat d'Alacant,Alicante,Spain,"Torres, Fernando;Candelas, Francisco A.;Puente, Santiago T.;Pomares, Jorge;Gil, Pablo;Ortiz, Francisco G.",International Journal of Engineering Education,Journal,"This paper begins with a description on the state of the art of robotics education in Spain. We then present our virtual environment and remote laboratory, whose principal component is RoboLab, a system that allows the student to interact with simulated and real robots through the Internet. Afterwards, we describe the main aspects of our Robotics courses at the University of Alicante, as well as the practical exercises carried out by students using the virtual laboratory. We then present an analysis of our experience of using the virtual and remote laboratory and give our conclusions, in which we analyze the advantages and disadvantages of using our virtual environment and remote laboratory to teach Robotics. © 2006 TEMPUS Publications.",E-learning | Remote laboratory | Robotics | Virtual laboratory,53,0,Relevant
,,A multi-agent soccer simulator based on a simplified soccer model,cp,"Faculteit Elektrotechniek, Wiskunde en Informatica, TU Delft",Delft,Netherlands,"Borm, Iwein J.J.;Rothkrantz, L. J.M.","7th International Conference on Intelligent Games and Simulation, GAME-ON 2006",Conference Proceeding,"This paper describes a multi-agent soccer simulator based on a highly simplified soccer model. The simplified soccer model starts on a high level, and is suitable for research on high-level strategies. The simulator features a three-layer model representing the physical environment, robot, and behavior. This layered approach makes the system extensible. The system is fully functional and has been used in an educational environment. Results from this show that it is possible for unexperienced novice programmers to implement cooperative intelligent soccer teams in limited time. The simplified model allows advanced high-level strategies and self-learning elements. © 2006 EUROSIS-ETI.",Cooperative Agents | Multi-Agent Systems | Soccer Simulation,0,0,Relevant
,,MICROCOMPUTER SIMULATIONS FOR ROBOTIC EDUCATION.,cp,Honeywell International Inc.,Morris Plains,United States,"Fazle Rabbi, M.;Park, Eui H.;Bu-hamad, Adel",,Conference Proceeding,"This paper describes a set of simulation programs developed in a microcomputer to teach students fundamentals of industrial robots, which are playing increasingly significant roles in CIM (Computer Integrated Manufacturing). The equipment used includes a scaled model robot (with features like full scale industrial robot) interfaced with a microcomputer. Each student participates in a set of games with a robot for three to four hours. At the end of the games, students have learned some of the basic principles of industrial robots and their roles in CIM. The aim is to impart this education using inexpensive equipment which is portable, and safe to use. This makes the technique attractive to schools and universities with limited resources. The programs were developed utilizing an educational robot (Microbot Touch Mover), an Apple IIe microcomputer with 64K memory and one disk drive, and supporting softwares include ARMBASIC and Binary Utility Graphics. This paper describes and illustrates how the programs are used.",,0,0,Relevant
10.1016/0094-114X(94)90129-5,,"User-oriented software for modeling, control synthesis and simulation of robots in metal machining processes",ar,Institute Mihailo Pupin,Belgrade,Serbia,"Rodić, Aleksandar D.;Vukobratović, Miomir K.;Stokić, Dragan M.",Mechanism and Machine Theory,Journal,"This paper describes a software package as a tool for modeling, control synthesis and simulation of manipulation robots which are applied for metal machining processes. The package includes various dynamic models of a robot in the contact with a constraint surface. These models are presented and the problems of application of these models for simulation and synthesis of position/force control for manipulation robots are considered. CONMOT (CONstrained MOTion) software enables a large possibility of selection of various control algorithms in dependence of different technological demands and desired system behavior. This paper emphasizes the CONMOT program package both for research and educational purposes. Also, it is shown that this software system represents a useful software tool for computer-aided design of robot controllers in class of specific tasks of robotic metal machining processes. © 1994.",,2,0,Not relevant
10.1109/CIT.2010.373,,Micromouse competition training method based on 3D simulation platform,cp,School of Computer and Computing Science,Hangzhou,China,"Huo, Meimei;Wu, Jianzhong;Cai, Jianping;Song, Bin","Proceedings - 10th IEEE International Conference on Computer and Information Technology, CIT-2010, 7th IEEE International Conference on Embedded Software and Systems, ICESS-2010, ScalCom-2010",Conference Proceeding,"This paper describes a successful integration of the IEEE micromouse competition training programme with regular undergraduate courses at Zhejiang University City College (ZUCC), Hangzhou. A micromouse is a computer controlled autonomous mobile robot which can find a predetermined destination when placed in an unknown maze. A generic 3D IEEE micromouse simulation platform with multiple viewpoints has been presented that can be used both for research and education. The 3D IEEE micromouse simulation platform offers many characteristics that differentiate it from most existing 2D simulators. Most notably, we designed a set of training programme for students who major in computer software to participate in IEEE micromouse competition based on the 3D simulation platform. The goals of this paper are to report a complete design example suitable for large-scale student participation and to discuss the benefits of the programme from an educator's view point. © 2010 IEEE.",Micromouse | Simulator | Three-dimensional | Training programme,3,0,Relevant
10.1109/WMTE.2004.1281337,,An interactive maze scenario with physical robots and other smart devices,cp,Universität Duisburg-Essen,Duisburg,Germany,"Jansen, Marc;Oelinger, Maria;Hoeksema, Kay;Hoppe, Ulrich",Proceedings - 2nd IEEE International Workshop on Wireless and Mobile Technologies in Education,Conference Proceeding,"This paper describes an educational application that combines handhelds (PDAs) and programmable Lego bricks in a classroom scenario that deals with the problem of letting a robot escape from a maze. It is specific to our setting that the problem can be solved both in the physical world by steering a Lego robot and in a simulated software environment on a PDA or on a PC. This approach enables the students to generate successful sets of rules in the simulation and to test these sets of rules later in physical mazes, or to create new types of mazes as challenges for known rule sets. In this paper we describe the technical setting for this scenario, different pedagogical scenarios and we will report an evaluation with a group of students in a school environment.",Challenge-based learning | Motivation | Smart devices,18,0,Not relevant
10.1109/cdc.2006.377344,,"Description of a Modeling, Simulation, Animation, and Real-Time Control (MoSART) environment for a broad class of dynamical systems",cp,Arizona State University,Tempe,United States,"Rodriguez, Armando A.;Cifdaloz, Oguzhan;Phielipp, Mariano;Dickeson, Jeff;Koziol, Paul;Miles, David;Garcia, Miguel;McCullen, Robert;Willis, Jerald;Benavides, Jose",Proceedings of the IEEE Conference on Decision and Control,Conference Proceeding,"This paper describes an Interactive Modeling, Simulation, Animation, and Real-Time Control (MoSART) Environment that is useful for controls education and research. The described MoSART Environment is shown to be useful for analyzing, designing, visualizing, and evaluating control systems for a broad class of dynamical systems which include: a collection of pendulum/robotic systems, aircraft, helicopters, and other six degree-of-freedom systems. The environment - referred to as Control3D-Lab l - is based on Microsoft Windows, Visual C++, Direct-3D, and MATLAB/Simulink2. The environment can be used as a stand-alone application or together with MATLAB, Simulink, and toolboxes. When used as a standalone application, a friendly graphical user interface permits easy interaction. Users may select (via pull-down menus): systems, dynamical models, control laws, exogenous signals (including joystick inputs) and associated parameters, initial conditions, integration routines and associated parameters. When used with MATLAB, Simulink, and toolboxes,the above nominal features are significantly enhanced. In either case, the interface permits users to access the following (via pulldown menus): animation models, mesh properties, texture and lighting models, system-specific visual indicators, graphics to be displayed, animation/data display/storage rates, simulation control buttons, and extensive documentation. When Simulink is present, users can exploit extensive visualization and 3D animation features through provided and/or user-generated Simulink diagrams. This capability makes the developed environment very extensible with respect to mathematical models and control laws. Additionally, users may readily export simulation data to MATLAB/toolboxes for post-processing and further analysis. The environment also contains a suite of well documented (easy-to-modify) models and control laws that are implemented within the provided Simulink block diagrams. Provided (special) blocks enable animation, joystick inputs, and (near) real-time simulation and animation (when possible)3. Associated with each block diagram are system-specific, menuaccessed m-files that permit detailed analysis and design. A hardware module permits real-time control of actual hardware experiments. The developed environment is shown to be a valuable tool for enhancing both controls education in a variety of classes as well as research. Examples are presented to illustrate the utility of the environment. © 2006 IEEE.",,2,0,Not relevant
10.1145/2532333.2532338,,DOROTHY: Integrating graphical programming with robotics to stimulate interest in computing careers,cp,Florida Agricultural and Mechanical University;Texas Tech University;The University of North Carolina at Charlotte,Tallahassee;Lubbock;Charlotte,United States;United States;United States,"South, David;Ray, Austin;Thomas, Kevin;Graham, Stephanie;Huff, Shiloh;Rainge, Sarah;Shuman, Mary;Sridharan, Mohan;Urban, Susan D.;Urban, Joseph E.;Peeler, Sabyne",ACM International Conference Proceeding Series,Conference Proceeding,"This paper describes DOROTHY, a novel educational tool that enhances the Alice 3D programming environment to enable bidirectional communication of sensor data and commands with robots capable of autonomous operation. Users without any programming experience can quickly create graphical routines consisting of one or more simulated robots in virtual worlds. Command dictionaries and socket streams enable real-time translation of these routines to software for synchronous or asynchronous control of sensing and actuation on one or more mobile robots with on-board sensing, resulting in adaptive behavior in the real-world. Multiple execution scenarios are described to illustrate the capabilities of the educational tool. Furthermore, the paper outlines a curriculum that can be used with the tool to teach core concepts of computing, concurrent execution and real-world sensing to middle school and high school students, thus stimulating interest in computing. © 2013 ACM.",autonomous mobile robots | Computational thinking | graphical programming environments,2,0,Relevant
10.1007/978-3-540-24580-3_23,,jcc: Integrating timed default concurrent constraint programming into JAVA,ar,DePaul University;Google LLC;Pennsylvania State University,Chicago;Mountain View;University Park,United States;United States;United States,"Saraswat, Vijay;Jagadeesan, Radha;Gupta, Vineet",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,"This paper describes jcc, an integration of the timed default concurrent constraint programming framework [16] (Timed Default cc) into JAVA [7]. jcc is intended for use in education and research, for the programming of embedded reactive systems, for parallel/distributed simulation and modelling (particularly for space, robotics and systems biology applications), and to support the development of constraint-based program analysis and type-checking tools. In fully implementing the Timed Default cc framework, jcc supports the notion of (typed) logical variables (called ""promises"", after [5]), allows the programmer to add his/her own constraint system (an implementation of the Herbrand constraint system is provided), implements (instantaneous) defaults via backtracking, implements a complete renewal of the constraint-store at each time instant, and implements bounded-time execution of the Timed cc control constructs. jcc implements the notion of reactive vats [5] as single threads of execution within the JVM; a vat may be thought of as encapsulating a single synchronous, reactive Timed cc computation. A computation typically consists of a dynamically changing collection of interacting vats (some of which could potentially be located at different JVMs), with dynamically changing connectivity. jcc programs fully inter-operate with JAVA programs, and compile into standard JVM byte-code. jcc programs fully respect the JAVA type system; logical variables are typed. jcc is compatible with the Generic Java [3] extensions, thereby allowing the use of parameterized types. Indeed, jcc may be viewed as an extension of JAVA which replaces JAVA'S notoriously difficult imperative thread-based concurrency with the notion of reactive vats interacting via constraints on logical variables. jcc source code is available under the Lesser GNU licence through SourceForge. © Springer-Verlag Berlin Heidelberg 2003.",,9,0,Not relevant
,,Learning through engineering design and practice: Implementation and impact of a middle school engineering-education program,cp,Arizona State University;Center for Research on Education in Science;Paradise Valley School District,Tempe;;Phoenix,United States;United States;United States,"Ganesh, Tirupalavanam;Thieken, John;Baker, Dale;Krause, Stephen;Roberts, Chell;Elser, Monica;Taylor, Wendy;Golden, Jay;Middleton, James;Kurpius, Sharon Robinson","ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,"This paper describes research efforts and results of the first year of a two-year long technologically centered discovery-based extracurricular learning experience designed and delivered to over 100 seventh-grade students from four middle schools. Research methods used to study program impact included statistical analysis of pre- and post- tests, qualitative research techniques of eliciting information using subject-produced drawings, journal writing, focus groups, and observation. This project is sponsored by the National Science Foundation (NSF) funded Information Technology Experiences for Students and Teachers (ITEST) program aimed at enhancing traditionally underrepresented youths' interest in Science, Technology, Engineering, and Mathematics (STEM) subjects. Disciplinary experts were drawn from materials science, industrial engineering, mechanical engineering, computer science, sustainability, science education, mathematics education, cognitive psychology, counseling, and education research methods. These experts worked with K-12 educators to design and deliver an extra-curricular middle school engineering education program. The program utilized the engineering design process as the fundamental construct for engagement with the novel teaching and learning experiences. The program provided experiences where participants learned engineering and information technology skills through activities such as simulating desert tortoise behaviors, and researching and developing designs to mitigate the urban heat island. They also participated in leadership development activities over the summer serving as docents for younger children at the local science center, a research internship with the university, and an industry internship with a local energy and water service provider. Student learning was assessed using formal and informal methods. Informal assessments consisted of whiteboard presentations, open-ended questioning, demonstrations, journal write-ups, and teacher observations. These were used to guide daily activities and lessons. Formal assessments consisted of pre and post assessments. Subject produced drawings were used to elicit students' pre- and post-program knowledge. Draw a Robot and Draw an Engineer assessments were used. A survey instrument was developed and implemented to elicit tinkering and technical self-efficacy. An earlier developed instrument that was validated using a sample of responses of 200 engineers to develop the items was modified for use with youth. Observations of project activities by external evaluators, interviews with educators, school administrators, program facilitators, principal investigators, industry volunteers, collaborators, and student participants, were used to study whether project and research goals were met. Pre and post assessments in the form of open-ended questions related to content in major units were administered. Assessments were analyzed to determine what impact the project had on student learning and student interests in related STEM content. A two-way repeated measures ANOVA was conducted on each unit to compare differences in the relationship between pre and post assessment scores. Data revealed that by engaging youth in learning experiences that emphasizes both utilitarian and inquiry-based motivations, where learning is made relevant to students' lives, the outcome leads to enhanced learning in content areas. We have also learned that systematic efforts are needed to dispel misunderstandings regarding STEM subjects and professions. Coordinated and carefully designed in-depth and long-term experiences are needed to provide students and families with knowledge of STEM education and career pathways. © American Society for Engineering Education, 2010.",,2,0,Not relevant
,,The development and effectiveness of the cycler educational presentation robots,cp,The Open University;David Buckley Robotics and Animatronics,Milton Keynes;,United Kingdom;United Kingdom,"Smith, Martin;Buckley, David","AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proc. of Symp. on Robotics, Mechatronics and Animatronics in the Creative and Entertainment Industries and Arts",Conference Proceeding,"This paper describes the design, development and operation of three state-of-the-art presentation robots being used to present an educational programme to schoolchildren in the UK. The three identical robots were designed to simulate intelligent behaviour in order to appeal to primary and special needs pupils and to grab and hold their attention. The robots present the educational material autonomously except that question and answer sessions are triggered by a handler to synchronise the interaction with the children. The paper describes the functional, behavioural and appearance aspects of the design and includes a summary of the effectiveness of ten years use in thousands of schools with hundreds of thousands of children.",,1,0,Not relevant
10.1109/SBGAMES.2010.10,,An educational robotic game for Transit Education based on the Lego Mindstorms NXT platform,cp,Universidade Federal do Amazonas,Manaus,Brazil,"Da Silva, Marckson Monteiro;De Magalhães Netto, José Francisco","Proceedings - 2010 Brazilian Symposium on Games and Digital Entertainment, SBGames 2010",Conference Proceeding,"This paper describes the development of an educational game using Lego MindStorms NXT 1.0 platform of educational robotics and Java technology, seeking the construction of knowledge about the Transit Education for children, in a fun and interesting way. With this game children can experience situations of urban traffic, leading to reflections on what attitude to take in view of typical situations. The game seeks to simulate urban traffic close to real-world situation. © 2010 IEEE.",Educational games | Educational robotics | Lego MindStorms NXT,2,0,Not relevant
,,Teleoperation of SCARA with neural network based controller,ar,Univerza v Mariboru,Maribor,Slovenia,"Čas, Jure;Klobučar, Rok;Hercog, Darko;Šafarič, Riko",Strojniski Vestnik/Journal of Mechanical Engineering,Journal,"This paper describes the development of neural network based controller for the teleoperation of Selective Compliance Assembly Robot Arm (SCARA). The SCARA is controlled and teleoperated via the internet. Presented experiment is used by students at the University of Maribor as a remote educational tool. Application is based on MATLAB/Simulink and LabVIEW software packages. MATLAB/Simulink and developed library DSP-2 Library for Simulink are used for neural network control algorithm development, simulation and code generation. The executable code is downloaded to the Digital Signal Processor (DSP). The DSP controls through the analog and digital I/O the real process and maintain the data connection with the laboratory server. The LabVIEW virtual instrument (VI) is used as a client server application for the teleoperation. LabVIEW VI provides the ability for parameter tuning, signal monitoring, on-line analysis and via Remote Panels technology also teleoperation by using the internet browser (Internet Explorer). The main advantage of a neural network controller is the exploitation of its self-learning capability. For example: when friction or an unexpected disturbance occurs, the user of a remote application does not need any information about the changed robot dynamics, because it is estimated independently of the remote user. © 2008 Journal of Mechanical Engineering. All rights reserved.",LabVIEW | MATLAB | Neural network controller | Remote experiment system | Robotics | Simulink,1,0,Not relevant
,,Robotic arc welding workstation design and simulation in education,ar,Lunds Universitet,Lund,Sweden,"Bolmsjo, Gunnar",International Journal for the Joining of Materials,Journal,"This paper describes the education in programming and simulation of robotic arc welding in Mechanical Engineering, Lund University. The exercises are based on the software tools IGRIP and UltraArc which enable the students to do most of the work on computers rather than working with the robot. One obvious advantage is that more students can be trained, but also more complex welding situations can be studied including robot system and workpieces. Furthermore, the exercises is in line with the general trend in automation leaded by the automotive industry providing the students with a state-of-the-art knowledge in simulation and programming techniques which can be fully utilized in modern automation.",,0,0,Relevant
