eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,abstract,include?
2-s2.0-85068934415,10.1016/j.robot.2019.07.002,S0921889018306493,,Collision-free allocation of temporally constrained tasks in multi-robot systems,ar,Article,D'Emidio M.,,Università degli Studi dell'Aquila,L'Aquila,Italy,,,,,2019-09-01,September 2019,Robotics and Autonomous Systems,09218890,18079,,Journal,119,,,151-172,,,6,0,,,,"Highlights

•

Investigation about Pickup and delivery tasks with deadlines in a multi-robot systems.

•

Task swapping between robots can results in negative effects.

•

Allocation of tasks and ensuring collision free trajectories is computationally hard.

•

A novel measure for ordering temporally constrained tasks performs good.

•

New scoring function for optimization of multiple objectives is effective.

•

Proving, theoretically and experimentally, the correctness of the new algorithm.

•

Extensive simulation showing the effectiveness of the proposed algorithm.
Multi-robot systems (MRS) are a reference solution for many prominent real-world applications, e.g. management of warehouses or exploration of unknown environments. One of the most fundamental computational problems in MRS is that of planning the assignment of tasks to robots when such tasks have deadlines, i.e. constraints on when the execution must take place.

The problem, when multiple objective functions of interest need to be optimized, is both NP-Hard and hard to approximate, and few heuristics are known in the literature to handle it. Unfortunately, none of them guarantees that the trajectories used by the robots when moving between tasks’ locations are collision-free at planning time. Rather, they implement a reactive behavior, i.e. they abort the execution of a planned task whenever something goes wrong, e.g. trajectories of robots intersect or a deadline is missed due to some obstacle. This approach induces negative effects on the global performance of the system in the form of waste of energy, due to high distances traveled by the fleet members, or in the form of high convergence time to execute tasks. Therefore, planning the assignments of temporally constrained tasks with the guarantee of avoiding collisions can be a desirable feature for multi-robot systems.

In this paper, we present CFAT-D (Collision-Free Allocation of Tasks having Deadlines), a new algorithm that can allocate temporally constrained tasks while guaranteeing that used trajectories are collision-free at planning time. We prove CFAT-D to be correct and showcase its effectiveness through an extensive experimental evaluation. Finally, we provide a roadmap toward the practical implementation of the new strategy in real-world environments.",NO
2-s2.0-85067212468,10.1016/j.sysarc.2019.05.005,S1383762118306088,,MakeCode and CODAL: Intuitive and efficient embedded systems programming for education,ar,Article,Devine J.,,Lancaster University,Lancaster,United Kingdom,,,,,2019-09-01,September 2019,Journal of Systems Architecture,13837621,12398,,Journal,98,,,468-483,,,7,1,,,,"Historically, embedded systems development has been a specialist skill, requiring knowledge of low-level programming languages, complex compilation toolchains, and specialist hardware, firmware, device drivers and applications. However, it has now become commonplace for a broader range of non-specialists to engage in the making (design and development) of embedded systems - including educators to motivate and excite their students in the classroom. This diversity brings its own set of unique requirements, and the complexities of existing embedded systems development platforms introduce insurmountable barriers to entry.

In this paper we present the motivation, requirements, implementation, and evaluation of a new programming platform that enables novice users to create effective and efficient software for embedded systems. The platform has two major components: (1) Microsoft MakeCode (www.makecode.com), a web app that encapsulates an accessible IDE for microcontrollers; and (2) CODAL, an efficient component-oriented C++ runtime for microcontrollers. We show how MakeCode and CODAL combine to provide an accessible, cross-platform, installation-free, high level programming experience for embedded devices without sacrificing performance and efficiency.",SI
2-s2.0-85047627817,10.1109/TCDS.2018.2841002,,,Automatic Object Searching and Behavior Learning for Mobile Robots in Unstructured Environment by Deep Belief Networks,ar,Article,Wang J.,,Sichuan University,Chengdu,China,,,,,2019-09-01,September 2019,IEEE Transactions on Cognitive and Developmental Systems,23798920,21100784665,23798939,Journal,11,3,8367845,395-404,,,5,0,,,,"Automatic object searching is one of the essential skills for domestic robots to operate in unstructured human environments. It involves concatenation of several capabilities, including object identification, obstacle avoidance, path planning, and navigation. In this paper, we propose an automatic object searching framework for a mobile robot equipped with a single RGB-D camera. The obstacle avoidance is achieved by a behavior learning algorithm based on deep belief networks. The target object is recognized using scale-invariant feature transform descriptors and the relative position between the target and mobile robot is estimated from the RGB-D data. Subsequently, the mobile robot makes a path planning to the target location using an improved bug-based algorithm. The framework is tested in indoor environments and requires the robot to perform obstacle avoidance and automatically search and approach the target object. The results indicate that the system is collision free and reliable in performing searching tasks. This system's functions make itself have the potential of being used for local navigation in unstructured environments.",NO
2-s2.0-85080911365,10.2316/J.2019.206-5213,,,Robotic obstacle avoidance in a partially observable environment using feature ranking,ar,Article,Gharbieh W.,,Princess Sumaya University,Amman,Jordan,,,,,2019-08-29,29 August 2019,International Journal of Robotics and Automation,08268185,25482,,Journal,34,5,,572-579,,,1,0,,,,"In this paper, a decision-making system that is based on feature ranking is presented to allow a robot to navigate back and forth between two points. The path of the robot contains an unknown number of both static and moving obstacles that get in its way. To simulate the use of real sensors, the implementation uses only local information available within a predeﬁned radius for decision- making. To address this problem, feature ranking is introduced, where the top k obstacles are taken into consideration in planning the robot path. Feature ranking is applied to linear regression and neural networks to compare their generalization ability against a baseline policy. During the development of the system, the robot undergoes a learning phase, where the moving obstacles move at 50% of the robot’s speed. When learning phase is complete, the generalization ability of the policy learned by both algorithms is tested by generating environments with various obstacle speeds. The results show that the policy developed performs much better than the baseline policy with the neural network outperforming linear regression in the majority of the environments.",NO
2-s2.0-85070370844,10.1108/JET-12-2018-0069,,,High-functioning autistic children programming robotic behaviour,ar,Article,Lahav O.,,Tel Aviv University,Tel Aviv-Yafo,Israel,,,,,2019-08-19,19 Aug 2019,Journal of Enabling Technologies,,21100818512,23986263,Journal,13,2,,82-91,,,0,0,,,,"Purpose

The purpose of this paper is to examine the ability of high-functioning autistic (HFA) children to programme robotic behaviour and sought to elucidate how they describe and construct a robot’s behaviour using iconic programming software.

Design/methodology/approach

The robotic learning environment is based on the iPad, an iconic programming app (KinderBot), and EV3. Two case studies, of A. and N., both HFA children of average age 10.5, are the focus of this research.

Findings

The research revealed how the participants succeeded in programming the behaviour of an “other” at different programming complexity levels (from simple action to combinations of states of two binary sensors and rule with subroutine). A transformation from procedural to declarative description was also found.

Practical implications

This research on the ability of HFA children to programme robotic behaviour yielded results that can be implemented in K-12 education. Furthermore, learning to programme robots and understand how robotic technologies work may help HFA children to better understand other technology in their environment.

Originality/value

In this research, the authors present an innovative approach that for the first time enables HFA children to “design” the behaviour of smart artefacts to use their sensors to adapt in accordance with the environment. For most HFA children, this would be the first opportunity to “design” the behaviour of the other, as opposed to oneself, since in most of their experience they have been largely controlled by another person.",SI
2-s2.0-85071281551,10.3390/s19163488,,31404963,"Olfaction, vision, and semantics for mobile robots. Results of the IRO project",ar,Article,Monroy J.,,Universidad de Málaga,Malaga,Spain,,,,,2019-08-02,2 August 2019,Sensors (Switzerland),14248220,130124,,Journal,19,16,3488,,,,2,1,,,,"Olfaction is a valuable source of information about the environment that has not been sufficiently exploited in mobile robotics yet. Certainly, odor information can contribute to other sensing modalities, e.g., vision, to accomplish high-level robot activities, such as task planning or execution in human environments. This paper organizes and puts together the developments and experiences on combining olfaction and vision into robotics applications, as the result of our five-years long project IRO: Improvement of the sensory and autonomous capability of Robots through Olfaction. Particularly, it investigates mechanisms to exploit odor information (usually coming in the form of the type of volatile and its concentration) in problems such as object recognition and scene–activity understanding. A distinctive aspect of this research is the special attention paid to the role of semantics within the robot perception and decision-making processes. The obtained results have improved the robot capabilities in terms of efficiency, autonomy, and usefulness, as reported in our publications. View Full-Text",NO
2-s2.0-85079785241,10.1007/s42452-019-0941-2,,,A simple and highly portable MATLAB interface for learning robotics,ar,Article,Calusdian J.,,Naval Postgraduate School,Monterey,United States,,,,,2019-08-01,August 2019,SN Applied Sciences,,21101037132,25233971,Journal,1,8,890,,,,1,1,,,,"In order to attract engineering students from across a wide range of disciplines and subject areas to the study of robotics, it was highly desirable to have an easy-to-use MATLAB-based interface for students to use to program robots and conduct robot experiments. Undoubtedly, MATLAB is one of the most prevalent programming languages engineering students use for modeling, analysis, and data visualization. In this paper, a simple and highly portable MATLAB interface is introduced to support laboratory instruction and experimentation in robotics. This robot interface leverages student’s prior knowledge and skills in MATLAB so that it is easy for them to begin working and learning about many of the fascinating aspects of robotics. The interface was specifically developed for the Pioneer family of mobile robots, which uses a client–server communication model based on the Advanced Robotics Control and Operations Software (ARCOS). The interface client was developed using basic MATLAB functions and communicates directly with the ARCOS server operating on many Pioneer robots. The interface is very light weight and highly portable to any computing platform that supports MATLAB.",SI
2-s2.0-85071875228,10.3390/electronics8080899,,,Pybokids: An innovative python-based educational framework using real and simulated Arduino robots,ar,Article,Vega J.,,Universidad Rey Juan Carlos,Madrid,Spain,,,,,2019-08-01,August 2019,Electronics (Switzerland),,21100829272,20799292,Journal,8,8,899,,,,12,1,,,,"In western countries, robotics is becoming increasingly common in primary and secondary education, both as a specific discipline and a tool to make science, technology, engineering, and mathematics (STEM) subjects more appealing to children. The impact of robotics on society is also growing yearly, with new robotics applications in such things as autonomous cars, vacuum cleaners, and the area of logistics. In addition, the labor market is constantly demanding more professionals with robotics skills. This paper presents the PyBoKids framework for teaching robotics in secondary school, where its aim is to improve pre-university robotics education. It is based on the Python programming language and robots using an Arduino microprocessor. It includes a software infrastructure and a collection of practical exercises directed at pre-university students. The software infrastructure provides support for real and simulated robots. Moreover, we describe a pilot teaching project based on this framework, which was used by more than 2000 real students over the last two years. View Full-Text",SI
2-s2.0-85070437289,10.1109/TRO.2019.2911800,,,Adaptive Motion Planning for a Collaborative Robot Based on Prediction Uncertainty to Enhance Human Safety and Work Efficiency,ar,Article,Kanazawa A.,,"Hitachi, Ltd.",Tokyo,Japan,,,,,2019-08-01,August 2019,IEEE Transactions on Robotics,15523098,95101,19410468,Journal,35,4,8727974,817-832,,,15,1,,,,"Industrial robots are expected to share the same workspace with human workers and work in cooperation with humans to improve the productivity and maintain the quality of products. In this situation, the worker's safety and work-time efficiency must be enhanced simultaneously. In this paper, we extend a task scheduling system proposed in the previous work by installing an online trajectory generation system. On the basis of the probabilistic prediction of the worker's motion and the receding horizon scheme for the trajectory planning, the proposed motion planning system calculates an optimal trajectory that realizes collision avoidance and the reduction of waste time simultaneously. Moreover, the proposed system plans the robot's trajectory adaptively based on updated predictions and its uncertainty to deal not only with the regular behavior of workers but also with their irregular behavior. We apply the proposed system to an assembly process where a two-link planar manipulator supports a worker by delivering parts and tools. After implementing the proposed system, we experimentally evaluate the effectiveness of the adaptive motion planning system.",NO
2-s2.0-85067878520,10.1177/0278364919856695,,,Probabilistic planning with formal performance guarantees for mobile service robots,ar,Article,Lacerda B.,,University of Oxford,Oxford,United Kingdom,,,,,2019-08-01,1 August 2019,International Journal of Robotics Research,02783649,18050,17413176,Journal,38,9,,1098-1123,,,13,1,,,,"We present a framework for mobile service robot task planning and execution, based on the use of probabilistic verification techniques for the generation of optimal policies with attached formal performance guarantees. Our approach is based on a Markov decision process model of the robot in its environment, encompassing a topological map where nodes represent relevant locations in the environment, and a range of tasks that can be executed in different locations. The navigation in the topological map is modeled stochastically for a specific time of day. This is done by using spatio-temporal models that provide, for a given time of day, the probability of successfully navigating between two topological nodes, and the expected time to do so. We then present a methodology to generate cost optimal policies for tasks specified in co-safe linear temporal logic. Our key contribution is to address scenarios in which the task may not be achievable with probability one. We introduce a task progression function and present an approach to generate policies that are formally guaranteed to, in decreasing order of priority: maximize the probability of finishing the task; maximize progress towards completion, if this is not possible; and minimize the expected time or cost required. We illustrate and evaluate our approach with a scalability evaluation in a simulated scenario, and report on its implementation in a robot performing service tasks in an office environment for long periods of time.",NO
2-s2.0-85065093052,10.1016/j.robot.2019.03.005,S0921889018303506,,A Survey of Knowledge Representation in Service Robotics,ar,Article,Paulius D.,,"University of South Florida, Tampa",Tampa,United States,,,,,2019-08-01,August 2019,Robotics and Autonomous Systems,09218890,18079,,Journal,118,,,13-30,,,32,1,,,,"Highlights

•

The main contribution of our paper is a focused discussion on what a knowledge representation is as it pertains to the robotics field: a comprehensive tool that encompasses high-level knowledge and low-level features.

•

This paper aims to define and discuss knowledge representation for robots, to review the literature for existing solutions, and to identify possible issues in the creation of an effective representation. We also review several tools and/or models that have been successfully applied to smaller sub-problems in robot learning and manipulation, which can be used as components to knowledge representations.

•

We discuss key characteristics of representations that allow them to function, in spite of the highly variable nature of a robot’s working environment and the objects found within it. We also propose specific requirements that are necessary to build the ideal knowledge representation, drawing on concepts discussed in previous works.
Within the realm of service robotics, researchers have placed a great amount of effort into learning, understanding, and representing motions as manipulations for task execution by robots. The task of robot learning and problem-solving is very broad, as it integrates a variety of tasks such as object detection, activity recognition, task/motion planning, localization, knowledge representation and retrieval, and the intertwining of perception/vision and machine learning techniques. In this paper, we solely focus on knowledge representations and notably how knowledge is typically gathered, represented, and reproduced to solve problems as done by researchers in the past decades. In accordance with the definition of knowledge representations, we discuss the key distinction between such representations and useful learning models that have extensively been introduced and studied in recent years, such as machine learning, deep learning, probabilistic modeling, and semantic graphical structures. Along with an overview of such tools, we discuss the problems which have existed in robot learning and how they have been built and used as solutions, technologies or developments (if any) which have contributed to solving them. Finally, we discuss key principles that should be considered when designing an effective knowledge representation.",NO
2-s2.0-85056131534,10.1007/s11633-018-1154-7,,,Synthesizing Robot Programs with Interactive Tutor Mode,ar,Article,Li H.,,Tsinghua University,Beijing,China,,,,,2019-08-01,1 August 2019,International Journal of Automation and Computing,14768186,5200152703,17518520,Journal,16,4,,462-474,,,0,0,,,,"With the rapid development of the robotic industry, domestic robots have become increasingly popular. As domestic robots are expected to be personal assistants, it is important to develop a natural language-based human-robot interactive system for end-users who do not necessarily have much programming knowledge. To build such a system, we developed an interactive tutoring framework, named “Holert”, which can translate task descriptions in natural language to machine-interpretable logical forms automatically. Compared to previous works, Holert allows users to teach the robot by further explaining their intentions in an interactive tutor mode. Furthermore, Holert introduces a semantic dependency model to enable the robot to “understand” similar task descriptions. We have deployed Holert on an open-source robot platform, Turtlebot 2. Experimental results show that the system accuracy could be significantly improved by 163.9% with the support of the tutor mode. This system is also efficient. Even the longest task session with 10 sentences can be handled within 0.7 s.",NO
2-s2.0-85071946269,10.3785/j.issn.1008-973X.2019.07.010,,,Self-learning framework for attribution relationship of people carrying objects under family environment,ar,Article,Wu H.,,Shandong University,Jinan,China,,,,,2019-07-01,1 July 2019,Zhejiang Daxue Xuebao (Gongxue Ban)/Journal of Zhejiang University (Engineering Science),1008973X,15156,,Journal,53,7,,1315-1322,,,0,0,,,,"It is necessary for service robots to have the ability to independently obtain the attribution relationship between people and their carrying objects in order to satisfy the requirements of robot personalized service and enable robots to select exclusive objects to perform inference and planning according to different service individual. A self-learning framework for the attribution relationship between people and their carrying objects was proposed aiming at the problem of the attribution relationship between people carrying objects and people in the family environment. The method of detecting and locating people carrying objects was used based on the object detection model SSD and the human posture estimation model OpenPose in order to realize the detection of human carrying objects. The face detection and recognition model MTCNN were used to complete the service individual identification by extracting the objects features by convolutional neural network based on migration learning and using the backend classifier to complete the object instance attribute identification. The self-learning of the attribution relationship was completed through the self-learning strategy. The experimental results show that the proposed self-learning framework for attribution relationship of people carrying objects can accurately and efficiently complete the learning of attribution relationship, effectively eliminating the influence of environmental interference factors on attribution learning. The proposed framework has good accuracy and robustness.",NO
2-s2.0-85068453400,10.1109/LRA.2019.2923386,,,Interaction Templates for Multi-Robot Systems,ar,Article,Motes J.,,Texas AandM University,Uvalde,United States,,,,,2019-07-01,July 2019,IEEE Robotics and Automation Letters,,21100900379,23773766,Journal,4,3,8737744,2926-2933,,,3,0,,,,"This letter describes a framework for multi-robot problems that require or utilize interactions between robots. Solutions consider interactions on a motion planning level to determine the feasibility and cost of the multi-robot team solution. Modeling these problems with current integrated task and motion planning (TMP) approaches typically requires reasoning about the possible interactions and checking many of the possible robot combinations when searching for a solution. We present a multi-robot planning method called Interaction Templates (ITs), which moves certain types of robot interactions from the task planner to the motion planner. ITs model interactions between a set of robots with a small roadmap. This roadmap is then tiled into the environment and connected to the robots’ individual roadmaps. The resulting combined roadmap allows interactions to be considered by the motion planner. We apply ITs to homogeneous and heterogeneous robot teams under both required and optional cooperation scenarios, which previously required a task planning method. We show improved performance over a current TMP planning approach.",NO
2-s2.0-85067048886,10.1177/0278364919845047,,,Detection and correction of subtle context-dependent robot model inaccuracies using parametric regions,ar,Article,Mendoza J.P.,,Carnegie Mellon University,Pittsburgh,United States,,,,,2019-07-01,1 July 2019,International Journal of Robotics Research,02783649,18050,17413176,Journal,38,8,,887-909,,,0,1,,,,"Autonomous robots frequently rely on models of their sensing and actions for intelligent decision making. Unfortunately, in complex environments, robots are bound to encounter situations in which their models do not accurately represent the world. Furthermore, these context-dependent model inaccuracies may be subtle, such that multiple observations may be necessary to distinguish them from noise. This paper formalizes the problem of detection and correction of such subtle contextual model inaccuracies in autonomous robots, and presents an algorithm to address this problem. The solution relies on reasoning about these contextual inaccuracies as parametric regions of inaccurate modeling (RIMs) in the robot’s planning space. Empirical results from various real robot domains demonstrate that, by explicitly searching for RIMs, robots are capable of efficiently detecting subtle contextual model inaccuracies, which in turn can lead to task performance improvement.",NO
2-s2.0-85065464850,10.1109/LRA.2019.2898714,,,Specifying dual-arm robot planning problems through natural language and demonstration,ar,Article,Behrens J.K.,,Robert Bosch GmbH,Gerlingen,Germany,,,,,2019-07-01,July 2019,IEEE Robotics and Automation Letters,,21100900379,23773766,Journal,4,3,8638957,2622-2629,,,4,0,,,,"Multi-modal robot programming with natural language and demonstration is a promising technique for efficient teaching of manipulation tasks in industrial environments. In particular, with modern dual-arm robots designed to quickly take over tasks at typical industrial workbenches, the direct teaching of task sequences hardly utilizes the robots' capabilities. We therefore propose a two-staged approach that combines natural language instructions and demonstration with simultaneous task allocation and motion scheduling based on constraint programming. Instead of providing a task description and demonstrations that are replayed to a large extent, the user describes tasks to be scheduled with all relevant constraints and demonstrates relevant locations relative to workpieces and other objects. With explicitly stated constraints on the partial ordering of tasks, the solver allocates the tasks to the robot arms and schedules them in time while avoiding self-collisions and reducing the makespan in our experiment by 33%. The linguistic concepts of naming and grouping enable systematic reuse of sub-task ensembles. The proposed approach is evaluated with four variants of a gluing use-case from furniture assembly in user studies with ten participants. In these user studies, we observed a speed-up for the task definition of more than six times compared to a textual specification of the planning problems using the Python-based planner API.",NO
2-s2.0-85064654584,10.1016/j.robot.2019.04.006,S0921889018303075,,Trajectory generation with multi-stage cost functions learned from demonstrations,ar,Article,Hu J.,,State Key Laboratory of Industrial Control Technology,Hangzhou,China,,,,,2019-07-01,July 2019,Robotics and Autonomous Systems,09218890,18079,,Journal,117,,,57-67,,,2,0,,,,"Highlights

•

A novel multi-stage cost learning method is presented.

•

Learn cost functions without restrictions of limited numbers or simple forms.

•

Achieve better segmentation accuracy than two nonparametric segmentation method.

•

Generate trajectories that maintain properties of each substage in new environment.
Learning from demonstration provides an effective method to resolve the problem of teaching robot to execute complex motions without expert knowledge about the robot system. In this paper, we present a novel learning from demonstration method based on multi-stage cost learning. The recorded demonstrations are assumed to be composed of several substages chained together. Leveraging this assumption, a segmentation and cost learning framework is proposed to search for the cutting points that divide the unsegmented demonstrations into multiple substages and retrieve cost function for each substage. To the best of our knowledge, it is the first solution to learn multi-stage cost functions in continuous domain without restricting the possible cost functions into limited numbers or simple forms. To generate new trajectory, a complete objective functional is constructed based on the learned multi-stage cost functions plus other constraints like obstacle avoidance and is optimized with functional gradient method. The generated trajectory can adapt to new environments while maintain the specific properties of each substage as demonstrations. The effectiveness of the proposed method is verified through simulation study and experiments conducted on a real robot manipulator.",NO
2-s2.0-85064006237,10.1109/LRA.2019.2901898,,,Robot Motion Planning in Learned Latent Spaces,ar,Article,Ichter B.,,Google LLC,Mountain View,United States,,,,,2019-07-01,July 2019,IEEE Robotics and Automation Letters,,21100900379,23773766,Journal,4,3,8653875,2407-2414,,,27,1,,,,"This letter presents latent sampling-based motion planning (L-SBMP), a methodology toward computing motion plans for complex robotic systems by learning a plannable latent representation. Recent works in control of robotic systems have effectively leveraged local, low-dimensional embeddings of high-dimensional dynamics. In this letter, we combine these recent advances with techniques from sampling-based motion planning (SBMP) in order to design a methodology capable of planning for high-dimensional robotic systems beyond the reach of traditional approaches (e.g., humanoids, or even systems where planning occurs in the visual space). Specifically, the learned latent space is constructed through an autoencoding network, a dynamics network, and a collision checking network, which mirror the three main algorithmic primitives of SBMP, namely state sampling, local steering, and collision checking. Notably, these networks can be trained through only raw data of the system's states and actions along with a supervising collision checker. Building upon these networks, an RRT-based algorithm is used to plan motions directly in the latent space-we refer to this exploration algorithm as learned latent RRT. This algorithm globally explores the latent space and is capable of generalizing to new environments. The overall methodology is demonstrated on two planning problems, namely a visual planning problem, whereby planning happens in the visual (pixel) space, and a humanoid robot planning problem.",NO
2-s2.0-85063446798,10.1109/LRA.2019.2903261,,,PRIMAL: Pathfinding via Reinforcement and Imitation Multi-Agent Learning,ar,Article,Sartoretti G.,,The Robotics Institute,Pittsburgh,United States,,,,,2019-07-01,July 2019,IEEE Robotics and Automation Letters,,21100900379,23773766,Journal,4,3,8661608,2378-2385,,,39,1,,,,"Multi-agent path finding (MAPF) is an essential component of many large-scale, real-world robot deployments, from aerial swarms to warehouse automation. However, despite the community's continued efforts, most state-of-the-art MAPF planners still rely on centralized planning and scale poorly past a few hundred agents. Such planning approaches are maladapted to realworld deployments, where noise and uncertainty often require paths be recomputed online, which is impossible when planning times are in seconds to minutes. We present PRIMAL, a novel framework for MAPF that combines reinforcement and imitation learning to teach fully decentralized policies, where agents reactively plan paths online in a partially observable world while exhibiting implicit coordination. This framework extends our previous work on distributed learning of collaborative policies by introducing demonstrations of an expert MAPF planner during training, as well as careful reward shaping and environment sampling. Once learned, the resulting policy can be copied onto any number of agents and naturally scales to different team sizes and world dimensions. We present results on randomized worlds with up to 1024 agents and compare success rates against state-of-the-art MAPF planners. Finally, we experimentally validate the learned policies in a hybrid simulation of a factory mockup, involving both real world and simulated robots.",NO
2-s2.0-85050271198,10.1177/0037549718785440,,,Distributed path planning of a multi-robot system based on the neighborhood artificial potential field approach,ar,Article,Matoui F.,,Université de Gabès,,Tunisia,,,,,2019-07-01,1 July 2019,Simulation,00375497,14452,17413133,Journal,95,7,,637-657,,,10,0,,,,"The current study is set up to investigate the problem of planning the trajectories of a multi-robot system. It puts emphasis on the idea of using distributed architecture to plan the trajectories of a group of wheeled mobile robots. Each robot must be able to detect and avoid collision with both static and dynamic obstacles present in its environment/neighborhood. This study seeks to improve the artificial potential field (APF) method in order to have good trajectory planning of a multi-robot system. In order to address the purpose of this work, we employed the hybrid approach, which is a combination of three techniques: the APF method; the neighborhood system; and the notion of priority between the robots. Moreover, the minimum local problem is handled in this paper using the non-minimum speed algorithm. The implemented approach is adapted to solve the trajectory planning problem for a multi-robot system. So, the problem of intersection of robots at the same passage point is solved through using the method of assignment of priority between robots. We also used the neighborhood detection technique to reduce the influence area of each robot and to optimize the time of calculation. The overall system equations associated to the robots are updated at each time of simulation to react at any condition that might suddenly emerge. The approach is implemented with MATLAB/Simulink and Solidworks/Simmechanics.",NO
2-s2.0-85052520247,10.1007/s10514-018-9798-2,,,Environment-adaptive interaction primitives through visual context for human–robot motor skill learning,ar,Article,Cui Y.,,Nara Institute of Science and Technology,Ikoma,Japan,,,,,2019-06-15,15 June 2019,Autonomous Robots,09295593,18016,15737527,Journal,43,5,,1225-1240,,,1,1,,,,"In situations where robots need to closely co-operate with human partners, consideration of the task combined with partner observation maintains robustness when partner behavior is erratic or ambiguous. This paper documents our approach to capture human–robot interactive skills by combining their demonstrative data with additional environmental parameters automatically derived from observation of task context without the need for heuristic assignment, as an extension to overcome shortcomings of the interaction primitives framework. These parameters reduce the partner observation period required before suitable robot motion can commence, while also enabling success in cases where partner observation alone was inadequate for planning actions suited to the task. Validation in a collaborative object covering exercise with a humanoid robot demonstrate the robustness of our environment-adaptive interaction primitives, when augmented with parameters directly drawn from visual data of the task scene.",NO
2-s2.0-85062451927,10.1108/ILS-05-2018-0035,,,Teachers’ goals predict computational thinking gainsin robotics,ar,Article,Witherspoon E.B.,,University of Pittsburgh,Pittsburgh,United States,,,,,2019-06-10,10 Jun 2019,Information and Learning Science,23985348,21100805777,,Journal,120,5-6,,308-326,,,7,0,,,,"Purpose

Computational thinking (CT) is widely considered to be an important component of teaching generalizable computer science skills to all students in a range of learning environments, including robotics. However, despite advances in the design of robotics curricula that can teach CT, actual enactment in classrooms may often fail to reach this target. This study aims to understand whether the various instructional goals teachers’ hold when using these curricula may offer one potential explanation for disparities in outcomes.

Design/methodology/approach

In this study, the authors examine results from N = 206 middle-school students’ pre- and post-tests of CT, attitudinal surveys and surveys of their teacher’s instructional goals to determine if student attitudes and learning gains in CT are related to the instructional goals their teachers endorsed while implementing a shared robotics programming curriculum.

Findings

The findings provide evidence that despite using the same curriculum, students showed differential learning gains on the CT assessment when in classrooms with teachers who rated CT as a more important instructional goal; these effects were particularly strong for women. Students in classroom with teachers who rated CT more highly also showed greater maintenance of positive attitudes toward programming.

Originality/value

While there is a growing body of literature regarding curricular interventions that provide CT learning opportunities, this study provides a critical insight into the role that teachers may play as a potential support or barrier to the success of these curricula. Implications for the design of professional development and teacher educative materials that attend to teachers’ instructional goals are discussed.",SI
2-s2.0-85067009122,10.1108/EL-10-2018-0213,,,A Chinese ancient book digital humanities research platform to support digital humanities research,ar,Article,Chen C.M.,,National Chengchi University,Taipei,Taiwan,,,,,2019-06-03,3 Jun 2019,Electronic Library,02640473,15420,,Journal,37,2,,314-336,,,2,0,,,,"Purpose

With the rapid development of digital humanities, some digital humanities platforms have been successfully developed to support digital humanities research for humanists. However, most of them have still not provided a friendly digital reading environment and practicable social network analysis tool to support humanists on interpreting texts and exploring characters’ social network relationships. Moreover, the advancement of digitization technologies for the retrieval and use of Chinese ancient books is arising an unprecedented challenge and opportunity. For these reasons, this paper aims to present a Chinese ancient books digital humanities research platform (CABDHRP) to support historical China studies. In addition to providing digital archives, digital reading, basic search and advanced search functions for Chinese ancient books, this platform still provides two novel functions that can more effectively support digital humanities research, including an automatic text annotation system (ATAS) for interpreting texts and a character social network relationship map tool (CSNRMT) for exploring characters’ social network relationships.

Design/methodology/approach

This study adopted DSpace, an open-source institutional repository system, to serve as a digital archives system for archiving scanned images, metadata, and full texts to develop the CABDHRP for supporting digital humanities (DH) research. Moreover, the ATAS developed in the CABDHRP used the Node.js framework to implement the system’s front- and back-end services, as well as application programming interfaces (APIs) provided by different databases, such as China Biographical Database (CBDB) and TGAZ, used to retrieve the useful linked data (LD) sources for interpreting ancient texts. Also, Neo4j which is an open-source graph database management system was used to implement the CSNRMT of the CABDHRP. Finally, JavaScript and jQuery were applied to develop a monitoring program embedded in the CABDHRP to record the use processes from humanists based on xAPI (experience API). To understand the research participants’ perception when interpreting the historical texts and characters’ social network relationships with the support of ATAS and CSNRMT, semi-structured interviews with 21 research participants were conducted.

Findings

An ATAS embedded in the reading interface of CABDHRP can collect resources from different databases through LD for automatically annotating ancient texts to support digital humanities research. It allows the humanists to refer to resources from diverse databases when interpreting ancient texts, as well as provides a friendly text annotation reader for humanists to interpret ancient text through reading. Additionally, the CSNRMT provided by the CABDHRP can semi-automatically identify characters’ names based on Chinese word segmentation technology and humanists’ support to confirm and analyze characters’ social network relationships from Chinese ancient books based on visualizing characters’ social networks as a knowledge graph. The CABDHRP not only can stimulate humanists to explore new viewpoints in a humanistic research, but also can promote the public to emerge the learning interest and awareness of Chinese ancient books.

Originality/value

This study proposed a novel CABDHRP that provides the advanced features, including the automatic word segmentation of Chinese text, automatic Chinese text annotation, semi-automatic character social network analysis and user behavior analysis, that are different from other existed digital humanities platforms. Currently, there is no this kind of digital humanities platform developed for humanists to support digital humanities research.",NO
