,doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,abstract,include?,
246,10.1109/CCRA.2016.7811425,,A low-cost Matlab-based educational platform for teaching robotics,cp,Conference Paper,Castaneda J.J.,Universidad Antonio Nariño,Bogota,Colombia,"2016 IEEE Colombian Conference on Robotics and Automation, CCRA 2016 - Conference Proceedings",Conference Proceeding,,,3,"Robotics courses play a central role in the electronic engineering curriculum. Those courses provide students with knowledge and skill in multiple aspects of the design, simulation, implementation and operation of systems using robotics technologies for applications in areas such as the industrial, medical, services, among others. This work describes the implementation and application of a Matlab-based platform using low-cost technologies as an educational tool to be included in robotics courses. The platform comprises an Arduino as a target for hardware in the loop (HIL) simulation using Matlab and a 6 Degree of Freedom (DoF) articulated robotic arm. The HIL simulation system differs from computer simulation in such a way that it involves actual hardware and permits controlling the real world actuators and sensors. It was carried out set of experiments aimed to evaluate the platform in the field of human-robot interaction; specifically, through an application to control the robotic arm to follow movements of a human upper limb. Root Mean Square Error (RMSE) was used to correlate movement provided by user and the actual movement executed by the robotic arm. Obtained mean measurement errors were RMSE of 4.7° for static validation and 5.3° for dynamic tests.",,30
247,10.1201/9781315152691,,A systematic approach to learning robot programming with ROS,bk,Book,Newman W.,Case Western Reserve University,Cleveland,United States,A Systematic Approach to Learning Robot Programming with ROS,Book,,1-502,5,"A Systematic Approach to Learning Robot Programming with ROS provides a comprehensive, introduction to the essential components of ROS through detailed explanations of simple code examples along with the corresponding theory of operation. The book explores the organization of ROS, how to understand ROS packages, how to use ROS tools, how to incorporate existing ROS packages into new applications, and how to develop new packages for robotics and automation. It also facilitates continuing education by preparing the reader to better understand the existing on-line documentation.

The book is organized into six parts. It begins with an introduction to ROS foundations, including writing ROS nodes and ROS tools. Messages, Classes, and Servers are also covered. The second part of the book features simulation and visualization with ROS, including coordinate transforms. 

The next part of the book discusses perceptual processing in ROS. It includes coverage of using cameras in ROS, depth imaging and point clouds, and point cloud processing. Mobile robot control and navigation in ROS is featured in the fourth part of the book 

The fifth section of the book contains coverage of robot arms in ROS. This section explores robot arm kinematics, arm motion planning, arm control with the Baxter Simulator, and an object-grabber package. The last part of the book focuses on system integration and higher-level control, including perception-based and mobile manipulation.

This accessible text includes examples throughout and C++ code examples are also provided at https://github.com/wsnewman/learning_ros",,30
248,10.1117/12.2288914,,Robotic fish tracking method based on suboptimal interval Kalman filter,cp,Conference Paper,Tong X.,Hefei Technology College,Hefei,China,Proceedings of SPIE - The International Society for Optical Engineering,Conference Proceeding,10605,,0,"Autonomous Underwater Vehicle (AUV) research focused on tracking and positioning, precise guidance and return to dock and other fields. The robotic fish of AUV has become a hot application in intelligent education, civil and military etc. In nonlinear tracking analysis of robotic fish, which was found that the interval Kalman filter algorithm contains all possible filter results, but the range is wide, relatively conservative, and the interval data vector is uncertain before implementation. This paper proposes a ptimization algorithm of suboptimal interval Kalman filter. Suboptimal interval Kalman filter scheme used the interval inverse matrix with its worst inverse instead, is more approximate nonlinear state equation and measurement equation than the standard interval Kalman filter, increases the accuracy of the nominal dynamic system model, improves the speed and precision of tracking system. Monte-Carlo simulation results show that the optimal trajectory of sub optimal interval Kalman filter algorithm is better than that of the interval Kalman filter method and the standard method of the filter.",,30
250,10.1007/978-3-319-64018-1_8,,Future developments in skull base surgery,ch,Chapter,Spetzger U.,Klinikum Karlsruhe,Karlsruhe,Germany,Surgery of the Skull Base: Practical Diagnosis and Therapy,Book,,313-318,0,"Today, modern skull base surgery represents a multidisciplinary, highly specialised collaboration of different medical specialties. The main goal is the treatment of tumorous, traumatic, vascular and congenital pathologies at the skull base while preserving neurological functions. In the last few years, skull base surgery has undergone a continuous development. This mainly regards the modern possibilities of visualisation by the improvement of the operating microscopes and the increasing use of brilliant high-definition endoscopes. But also the refinement of visualising the anatomy by the continuous developing cranial imaging and the navigation technology which is based on imaging has a relevant impact on the development of skull base surgery. The current concept is a function-preserving skull base surgery. Its future development aims a further improvement of treatment results and a continuous reduction of treatment-related morbidity. The future of modern skull base surgery will basically take place and be decided in four sections:

Technical innovations of equipment

Planning simulation and visualisation

Computer assistance and robotics

Education and training",,30
252,10.3233/JIFS-169363,,Magnitude preserving based ontology regularization algorithm,ar,Article,Zhu L.,Jiangsu University of Technology;Jiangsu Key Laboratory of Recycling,Changzhou;,China;China,Journal of Intelligent and Fuzzy Systems,Journal,33,3113-3122,3,"Affiliations: [a] School of Computer Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China | [b] Jiangsu Key Laboratory of Recycling and Reuse Technology for Mechanical and Electronic Products, Changshu, Jiangsu, China | [c] Department of Applied Mathematics, Iran University of Science and Technology, Narmak, Tehran, Iran | [d] School of Information, Yunnan Normal University, Kunming, Yunnan, China",,30
253,10.3991/ijoe.v13i08.7270,,Robot online learning to lift weights: A way to expose students to robotics and intelligent technologies,ar,Article,Verner I.,Technion - Israel Institute of Technology,Haifa,Israel,International Journal of Online Engineering,Journal,13,174-182,2,"During interaction with learning robots the students are often faced with the challenge of understanding the robot intent and its practical realization. To answer this challenge, we propose a connected environment which integrates the robot, its digital twin and virtual sensors. We implemented a reinforcement learning scenario in which a humanoid robot learns to lift a weight of unknown mass through autonomous trial-and-error search. To expedite the process, trials of the physical robot are substituted by simulations with its digital twin. The optimal parameters of the robot posture for executing the weightlifting task, found by analysis of the virtual trials, are transmitted to the robot through internet communication. The approach exposes students to the concepts and technologies of machine learning, parametric design, digital prototyping and simulation, connectivity and internet of things. Pilot implementation of the approach indicates its potential for teaching freshman and HS students, and for teacher education.",,30
254,10.1155/2017/4815932,,Research of Simulation in Character Animation Based on Physics Engine,ar,Article,Yu Y.,Tianjin University of Science &amp; Technology,Tianjin,China,International Journal of Digital Multimedia Broadcasting,Journal,2017,,2,"Computer 3D character animation essentially is a product, which is combined with computer graphics and robotics, physics, mathematics, and the arts. It is based on computer hardware and graphics algorithms and related sciences rapidly developed new technologies. At present, the mainstream character animation technology is based on the artificial production of key technologies and capture frames based on the motion capture device technology. 3D character animation is widely used not only in the production of film, animation, and other commercial areas but also in virtual reality, computer-aided education, flight simulation, engineering simulation, military simulation, and other fields. In this paper, we try to study physics based character animation to solve these problems such as poor real-time interaction that appears in the character, low utilization rate, and complex production. The paper deeply studied the kinematics, dynamics technology, and production technology based on the motion data. At the same time, it analyzed ODE, PhysX, Bullet, and other variety of mainstream physics engines and studied OBB hierarchy bounding box tree, AABB hierarchical tree, and other collision detection algorithms. Finally, character animation based on ODE is implemented, which is simulation of the motion and collision process of a tricycle.",,30
255,10.1117/12.2262385,,Embry-Riddle Aeronautical University multispectral sensor and data fusion laboratory: A model for distributed research and education,cp,Conference Paper,McMullen S.,Embry-Riddle Aeronautical University,Daytona Beach,United States,Proceedings of SPIE - The International Society for Optical Engineering,Conference Proceeding,10210,,2,"The miniaturization of unmanned systems and spacecraft, as well as computing and sensor technologies, has opened new opportunities in the areas of remote sensing and multi-sensor data fusion for a variety of applications. Remote sensing and data fusion historically have been the purview of large government organizations, such as the Department of Defense (DoD), National Aeronautics and Space Administration (NASA), and National Geospatial-Intelligence Agency (NGA) due to the high cost and complexity of developing, fielding, and operating such systems. However, miniaturized computers with high capacity processing capabilities, small and affordable sensors, and emerging, commercially available platforms such as UAS and CubeSats to carry such sensors, have allowed for a vast range of novel applications. In order to leverage these developments, Embry-Riddle Aeronautical University (ERAU) has developed an advanced sensor and data fusion laboratory to research component capabilities and their employment on a wide-range of autonomous, robotic, and transportation systems. This lab is unique in several ways, for example, it provides a traditional campus laboratory for students and faculty to model and test sensors in a range of scenarios, process multi-sensor data sets (both simulated and experimental), and analyze results. Moreover, such allows for “virtual” modeling, testing, and teaching capability reaching beyond the physical confines of the facility for use among ERAU Worldwide students and faculty located around the globe. Although other institutions such as Georgia Institute of Technology, Lockheed Martin, University of Dayton, and University of Central Florida have optical sensor laboratories, the ERAU virtual concept is the first such lab to expand to multispectral sensors and data fusion, while focusing on the data collection and data products and not on the manufacturing aspect. Further, the initiative is a unique effort among Embry-Riddle faculty to develop multi-disciplinary, cross-campus research to facilitate faculty- and student-driven research. Specifically, the ERAU Worldwide Campus, with locations across the globe and delivering curricula online, will be leveraged to provide novel approaches to remote sensor experimentation and simulation. The purpose of this paper and presentation is to present this new laboratory, research, education, and collaboration process.",,30
256,10.1007/978-3-319-60922-5_27,,Making the invisible visible: Real-time feedback for embedded computing learning activity using pedagogical virtual machine with augmented reality,cp,Conference Paper,Alrashidi M.,University of Essex,Colchester,United Kingdom,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,10324 LNCS,339-355,5,"In today’s digital world, the use of diverse interconnected physical computer-based devices, typified by the Internet-of-Things, has increased, leaving their internal functionalities hidden from people. In education, these hidden computational processes leave learners with a vagueness that obscures how these physical devices function and communicate in order to produce the high-level behaviours and actions they observe. The current approach to revealing these hidden worlds involves the use of debugging tools, visualisation, simulation, or augmented-reality views. Even when such advanced technologies are utilised, they fail to construct a meaningful view of the hidden worlds that relate to the learning context, leaving learners with formidable challenges to understanding the operation of these deep technologies. Therefore, a pedagogical virtual machine (PVM) model was employed to evaluate the learning effectiveness of the proposed model. We presented the experimental evaluation of the PVM model with AR that concerned students learning to program a desk-based robot (which is used as an example of an embedded computer) and reveal the learning effectiveness of using PVM with AR compared to traditional engineering laboratory methods. Overall, the PVM with AR improved learning and teaching, as compared to traditional environments, and learners preferred the use of the PVM with AR system for doing similar activities.",,30
258,10.1007/978-3-319-57264-2_21,,Maze navigation on ball &amp; plate model,cp,Conference Paper,Spacek L.,Univerzita Tomase Bati ve Zline,Zlin,Czech Republic,Advances in Intelligent Systems and Computing,Book Series,574,206-215,1,"Today’s CCD or CMOS image sensors are advanced enough to satisfy the need for accurate object detection and tracking. This leads to implementation of computer vision into industry, transportation, medicine, robotics and other sectors. The aim of this paper is to present steps needed to determine correct path through the maze constructed on a plate and navigate a ball along this path. Image processing techniques used here are simple enough to understand, so students can easily implement them to further extend educational capabilities of Ball & Plate model. The paper also shows the use of watershed transform, which can be extended for similar problems. The added maze thus provides excellent application for the model and simulates real-world issues in research and development.",,30
260,10.1108/IR-10-2016-0271,,"The Pransky interview: Gianmarco Veruggio, director of research, CNR-IEIIT, Genoa branch; Robotics pioneer and inventor",re,Review,Pransky J.,,,,Industrial Robot,Journal,44,6-oct,0,"Purpose

The following paper is a “Q&A interview” conducted by Joanne Pransky of Industrial Robot journal as a method to impart the combined technological, business and personal experience of a prominent, robotic industry engineer-turned successful innovator and leader, regarding the challenges of bringing technological discoveries to fruition. The paper aims to discuss these issues.

Design/methodology/approach

The interviewee is Gianmarco Veruggio who is responsible for the Operational Unit of Genoa of the Italian National Research Council Institute of Electronics, Computer and Telecommunication Engineering (CNR-IEIIT). Veruggio is an early pioneer of telerobotics in extreme environments. Veruggio founded the new applicative field of Roboethics. In this interview, Veruggio shares some of his 30-year robotic journey along with his thoughts and concerns on robotics and society.

Findings

Gianmarco Veruggio received a master’s degree in electronic engineering, computer science, control and automation from Genoa University in 1980. From 1980 to 1983 he worked in the Automation Division of Ansaldo as a Designer of fault-tolerant multiprocessor architectures for fail-safe control systems and was part of the development team for the new automation of the Italian Railway Stations. In 1984, he joined the CNR-Institute of Naval Automation (IAN) in Genoa as a Research Scientist. There, he worked on real-time computer graphics for simulation, control techniques and naval and marine data-collection systems. In 1989, he founded the CNR-IAN Robotics Department (Robotlab), which he headed until 2003, to develop missions on experimental robotics in extreme environments. His approach utilized working prototypes in a virtual lab environment and focused on robot mission control, real-time human-machine interfaces, networked control system architectures for tele-robotics and Internet Robotics. In 2000, he founded the association “Scuola di Robotica” (School of Robotics) to promote this new science among young people and society at large by means of educational robotics. He joined the CNR-IEIIT in 2007 to continue his research in robotics and to also develop studies on the philosophical, social and ethical implications of Robotics.

Originality/value

Veruggio led the first Italian underwater robotics campaigns in Antarctica during the Italian expeditions in 1993, 1997 and 2001, and in the Arctic during 2002. During the 2001-2002 Antarctic expedition, he carried out the E-Robot Project, the first experiment of internet robotics via satellite in the Antarctica. In 2002, he designed and developed the Project E-Robot2, the first experiment of worldwide internet robotics ever carried out in the Arctic. During these projects, he organized a series of “live-science” sessions in collaboration with students and teachers of Italian schools. Beginning with his new “School of Robotics”, Veruggio continued to disseminate and educate young people on the complex relationship between robotics and society. This led him to coin the term and propose the concept of Roboethics in 2002, and he has since made worldwide efforts at dedicating resources to the development of this new field. He was the General Chair of the “First International Symposium on Roboethics” in 2004 and of the “EURON Roboethics Atelier” in 2006 that produced the Roboethics Roadmap. Veruggio is the author of more than 150 scientific publications. In 2006, he was presented with the Ligurian Region Award for Innovation, and in 2009, for his merits in the field of science and society, he was awarded the title of Commander of the Order of Merit of the Italian Republic, one of Italy’s highest civilian honors.",,30
261,10.1007/978-3-319-49058-8_68,,Development of virtual laboratory for Mechatronic systems,cp,Conference Paper,Petrović V.M.,University of Belgrade,Belgrade,Serbia,Advances in Intelligent Systems and Computing,Book Series,540,622-630,2,"Laboratory experimentation is one of the key issues for the successful education and research. This applies particularly to engineering sciences, where experimental setups provide a deeper understanding of theoretical principles. If we consider this, as well as the fact that e-learning and distance learning became widespread in the last decade, it is not surprising that virtual laboratories appeared as a new experimentation concept. In this paper we will present the Virtual Laboratory for Mechatronic Systems (VLMS). VLMS currently consists out of two parts - robotics module and hydraulics module. Detailed description of each one will be provided in the paper. Dynamics of each particular laboratory device is mathematically modeled and simulated. Realistic virtual user interfaces are provided and finally 3D CAD graphics is used to provide an appropriate visualization.",,30
262,10.1007/978-3-319-31293-4_46,,Porting experiment of robotic machining application using ORiN SDK and design of 3D printer-like interface,cp,Conference Paper,Nagata F.,Sanyo-Onoda City University,San'yo-Onoda,Japan,Advances in Intelligent Systems and Computing,Book Series,447,563-579,0,"Up to now, industrial robots with an open architecture have been applied to several tasks requiring high skills such as machining, sanding, and polishing. As one of the notable results, the open architecture allows system engineers at user side to design a feedback control system to develop robotic applications. However, porting of an application software into different makers’ industrial robots is not easy even though having an open architecture, because the specifications of interface between PC-based controllers and robots are not standardized yet. In this paper, easy transplantation of a robotic application is tried by using ORiN (Open Robot/Resource interface for the Network) middleware interface. The application is the trajectory-following controller with vibrational motion used in a machining robot. First, the removability of undesirable cusp marks on a flat surface is examined through machining experiments. Then, portability of the controller into a small-sized educational robot VE026A with ORiN SDK (Software Development Kit) is evaluated on a simulation environment called WINCAPS III. Finally, a 3D printer-like interface is proposed for the machining robot to be controlled based on STL data. The design, implementation, and experimental results are presented.",,30
263,10.1109/SIMS.2016.7802907,,Developing a Toolbox of supports for small and medium sized manufacturing companies,cp,Conference Paper,Moore J.,,,,"2016 International Symposium on Small-Scale Intelligent Manufacturing Systems, SIMS 2016",Conference Proceeding,,101-104,5,"TARGET is a collaborative project involving a partnership of universities and institutes of higher education in UK, Ireland, Norway, Finland and Sweden. The project will develop tools to enhance capacity in regional manufacturing companies to adapt and embrace new technologies and innovation. This is to be done in collaboration with small/medium sized manufacturing engineering companies - developing, applying and piloting the tools through individual companies' processes. The Toolbox developed will consist of subsets such as Digital manufacturing (robotics and simulation), New Ideas and Thinking (human centred and environmental thinking, competitiveness), Business Models and modern Product Innovation. On completion of the Project, the Toolbox of supports will be made available for use through open access to manufacturing companies. The initial project phase with development of a Toolbox suitable for use in all the project partners' regions is presented.",,30
264,10.1109/IECON.2016.7793658,,A novel control strategy for youBot arm,cp,Conference Paper,Di Napoli G.,Università di Pisa,Pisa,Italy,IECON Proceedings (Industrial Electronics Conference),Conference Proceeding,,482-487,3,"Nowadays robotics educational platforms play an important role in the development and testing of new robotic technologies. These systems offer at low cost the possibility to access and experiment basic robot functionalities. In this paper, we examined the KUKA youBot: an omnidirectional mobile platform equipped with a five DOFs (Degrees of Freedom) robotic arm. The current internal design of the control loops limits severely its performances.",,30
265,10.1109/ICRAI.2016.7791232,,Sliding mode control of rigid-link anthropomorphic robotic arm,cp,Conference Paper,Ajwad S.A.,COMSATS University Islamabad,Islamabad,Pakistan,"2016 2nd International Conference on Robotics and Artificial Intelligence, ICRAI 2016",Conference Proceeding,,75-80,4,"Increasing demands of accuracy, productivity, reliability and repeatability in today's robotic applications have highlighted significance of modern control techniques. The associated control law must be able to handle perturbation forces, joint friction and parameter variations which can degrade the robot performance. This paper proposes non-linear Sliding Mode Control (SMC) for a 6 Degree of Freedom (DOF) human arm like robotic manipulator AUTonomous Articulated Robotic Educational Platform (AUTAREP). The proposed control algorithm is compared with a trivial linear control strategy Proportional-Integral-Derivative (PID). Simulation results depicted the efficiency of SMC over PID in term of tracking response for various desired trajectories.",,30
266,10.1145/3036932.3036934,,Multiple methods of data acquisition for a LEGO NXT 2 mobile robot. the use of a second NXT 2 hardware platform,cp,Conference Paper,Savu D.,Universitatea Politehnica din Timisoara,Timisoara,Romania,ACM International Conference Proceeding Series,Conference Proceeding,,97-102,2,"Mechatronics is a multidisciplinary and application oriented science and a methodology used to achieve an optimal design of an electromechanical product. Education in mechatronics at the Politehnica University Timisoara is organized on three levels: bachelor, master and PhD studies. These activities refer to: mechatronic components, computer interfacing electronics, systems (modelling, analysis, simulation, and control). The project discussed in the paper is a Mechatronic Demonstrator using the LEGO NXT-2 Platform. This demonstrator, named humanoid robot, is built at a low price and is suitable for studying the key elements of mechatronic systems: mechanical system dynamics, sensors, computer interfacing, and application development. This paper describes how the demonstrator has been used to validate the methods for data acquisition under experimental conditions. The article aims to describe the demonstrator construction (1), (2) to present the methods for data acquisition (method using two NXT platforms, method using a NXT platforms and oscilloscope, method using Matlab-Simulink) and to formulate conclusions (3).",,30
267,10.1016/j.procs.2017.01.163,,Use of Delta Robot as an Active Touch Device in Immersive Case Scenarios,cp,Conference Paper,Grajewski D.,Politechnika Poznanska,Poznan,Poland,Procedia Computer Science,Conference Proceeding,104,485-492,3,"The paper presents a new approach to creating interactive simulations for testing tactile interaction with the user, which involves use of a low-cost device. The role of the haptic (touch) device and its functionality is achieved by using a manipulator with a parallel kinematic structure (Delta robot). This required the development of methods of integrating a robot with the selected Virtual Reality (VR) systems. Therefore, a new element was introduced into the virtual environment - a device to simulate real objects. In the Virtual Environment (VE), user interacted with a simulated object, and the task of the Delta robot was moving into a position which enabled the interaction. In this way, VE has become more responsive because it corresponded to the behavior of the user, who can move and interact with digital objects and directly experience their physical properties (e.g. size, shape). According to the authors, this type of application will be able in the future to support the effectiveness of virtual training, with particular emphasis on educational simulation (e.g. to perform procedural tasks).",,30
269,10.1007/s00129-016-3981-3,,Robotic-assisted surgery in gynecologic oncology,ar,Article,Alkatout I.,Universitätsklinikum Schleswig-Holstein Campus Kiel,Kiel,Germany,Gynakologe,Journal,49,906-914,0,"Zusammenfassung

Die Etablierung der roboterassistierten Chirurgie in der gynäkologischen Onkologie beinhaltet die höchste Stufe der technischen Entwicklung. Der Einsatz ist mittlerweile beim Zervixkarzinom und beim Endometriumkarzinom mit bzw. ohne radikale(r) Lymphonodektomie standardisiert möglich. Experimentelle Ansätze, wie die Trachelektomie zum Fertilitätserhalt oder die totale mesometriale Resektion entlang der Embryonalstrukturen, finden Einzug in die roboterassistierte Chirurgie. Noch immer umstrittene Einsatzgebiete sind die Borderline-Tumoren und die frühen Ovarialkarzinome. Aber auch komplexe Operationen, wie Exenterationen und Mehrquadranteneingriffe, bauen zunehmend auf den technischen Fortschritt des Roboters. Die Einführung des DaVinci Xi® ermöglicht den variablen Einsatz der Optik in allen 4 Trokaren; damit ist eine Operation in allen Quadranten ohne Umdocken möglich. Nachteilig sind nach wie vor die hohen Investitions- und Erhaltungskosten sowie die aufwendige Schulung des medizinischen Personals. Die operative Ausbildung kann mit virtuellen Trainingsprogrammen und über die parallel schaltbare zweite Konsole erheblich gefördert werden.",,30
270,10.1109/LACLO.2016.7751746,,"An IoT computational robotics learning laboratory in Vila Velha, Espirito Santo",cp,Conference Paper,Dos Santos O.,Federal University of Espirito Santo,Vitória,Brazil,"Proceedings - 2016 11th Latin American Conference on Learning Objects and Technology, LACLO 2016",Conference Proceeding,,,4,"The amount of technologies that appear every day as educational applications is surprising. Within the sciences area we can highlight the technologies for the study of programming and robotics, that help students of all skill levels to develop their logical thinking and propose functional prototypes to solve their problems of everyday life. The applicability of these technologies makes them excellent learning objects by allowing interaction with learners. This article presents a case of successful implementation of a robotics lab for a city of the state of Espirito Santo, in Brazil, which is now in replication, to ensure access to this technology to all students of elementary school. With the help of robotics learning objects, such as LEGO Mindstorms kit, Arduino boards, programming simulators and Internet of Things concepts, we propose here a methodology based on leaning projects for learning technological concepts of robotics and computer automation.",,30
271,10.1109/CCA.2016.7587920,,Teaching control in mobile robotics with V-REP and a Khepera IV library,cp,Conference Paper,Fabregas E.,Universidad Nacional de Educacion a Distancia,Madrid,Spain,"2016 IEEE Conference on Control Applications, CCA 2016",Conference Proceeding,,821-826,9,"The advances of information and communication technologies have impacted in control education. Virtual laboratories are increasingly been used to enhance the way that students interact with simulations. High degree of visualization and interaction offered by modern computers open the opportunity to teach theory fundamentals with a more natural approach. This work describes the use of the robot simulator V-REP and the Khepera IV library to teach interesting control problems with mobile robots. The Khepera IV library supports the new functionalities of the most recent version of the wheeled robot Khepera, which allows creating advanced 3D simulations in the V-REP environment. The article also explains how instructors can use this development to teach classical control problems in mobile robotics. In particular, the theory and practice of the problems for position control, trajectory tracking, path following and the obstacle avoidance are given in detail.",,30
272,10.1109/SeGAH.2016.7586262,,Video game experience and basic robotic skills,cp,Conference Paper,Tanaka A.,Florida Hospital,Orlando,United States,"2016 IEEE International Conference on Serious Games and Applications for Health, SeGAH 2016",Conference Proceeding,,,1,"Virtual reality simulators have emerged as valuable tools for standardized and objective robotic surgery skill training and assessments. In recent years the idea of using video game technology in surgical education for laparoscopy has also been explored, however few have attempted to make a connection between video game experience and robotic surgical skills. Thus, the current study aims to examine the performance of video gamers in a virtual reality robotic surgery simulator. Furthermore, the video gamers' performance was compared to that of medical students, expert robotic surgeons, and “laypeople.” The purpose of this study is to demonstrate that video gamers acquire perceptual and psychomotor skills through video game play, similar to those used by robotic surgeons. Subjects completed a demographic questionnaire and performed three computer-based perceptual tests: a Flanker compatibility task, a subsidizing task, and a Multiple Object Tracking test. Participants then performed two warm-up exercises and eight trials of two core exercises on a robotic surgery simulator. After completing all trials, participants completed a post-questionnaire regarding their experience with the system. Expert video gamers (n=40), medical students (n=24), laypeople (n=42) and expert robotic surgeons (n=16) were recruited. Medical students and gamers were significantly faster than experts in the Flanker Task. The experts were significantly slower than the all other groups in the subsidizing task. Experts scored significantly higher, were significantly more efficient, and were significantly faster than laypeople, medical students, and gamers in the first trial of Ring & Rail 1 and Suture Sponge. In trial eight of the simulation exercises, the experts performed significantly better than most groups in all of the metrics. Contrary to prior literature in laparoscopy, this study was unable to validate enhanced abilities of video gamers in a robotic surgery simulator. This study does furth...
(Show More)",,30
274,10.3390/robotics5030012,,IDC Robocon: A transnational teaming competition for project-based design education in undergraduate robotics,ar,Article,Tan N.,National University of Singapore,Singapore City,Singapore,Robotics,Journal,5,,5,"This paper presents a robot design competition called ‘IDC Robocon’ as an effective tool for engineering education. The International Design Contest (IDC) Robocon competition has several benefits in creating a meaningful design experience for undergraduate engineering students and includes an international flavour as participants of the competition hail from all around the world. The problem posed to the contestants is to design, build and test mobile robots that are capable of accomplishing a task. A primary goal of the competition is to provide undergraduates with a meaningful design experience with an emphasis on mechanical design, electronic circuits and programming. It is hoped that by placing the emphasis on the design, the course will encourage more undergraduates to go into the field of engineering design. This paper presents the latest 2015 IDC Robocon (the 26th edition) in detail and discusses course of events and results in terms of the educational experience. In this competition, a simulated space problem of cleaning the debris from orbit is proposed for the latest IDC Robocon competition. Teams, comprising of students from multiple countries work together to develop robotic systems to compete with each other in collecting the foam balls and delivering them to the rotating the holder. View Full-Text",,30
275,10.1109/ChiCC.2016.7554357,,A multimodal emotional communication based humans-robots interaction system,cp,Conference Paper,Liu Z.,China University of Geosciences,Wuhan,China,"Chinese Control Conference, CCC",Conference Proceeding,2016-August,6363-6368,22,"A multimodal emotional communication based humans-robots interaction (MEC-HRI) system is proposed, which includes multiple emotional communication modes such as speech, facial expression, and gesture. The robots in MEC-HRI system could recognize humans' emotions and respond to humans in accordance with their emotions. Firstly, MEC-HRI system acquires the multimodal emotional cues from sensors, e.g., microphone, Kinect, eye tracker, EEG. Secondly, emotion recognition based on single modal/multimodal cues is carried out. Thirdly, robots respond to humans by facial expresion, speech, gesture, etc. Four scenarios, i.e., tour guiding, game entertainment, family services and scenairo simulation, are performed in the expriment, by which smooth communication between humans and robots is realized. In prospect, the MEC-HRI system would be applied in serving robots for smart house, education, hospital, restaurant, and so on.",,30
276,10.1109/MECATRONICS.2016.7547108,,Python in robotics and mechatronics education,cp,Conference Paper,Fraanje R.,The Hague University of Applied Sciences,The Hague,Netherlands,"2016 11th France-Japan and 9th Europe-Asia Congress on Mechatronics, MECATRONICS 2016 / 17th International Conference on Research and Education in Mechatronics, REM 2016",Conference Proceeding,,14-19,8,"In robotics and mechatronics education tools for programming, simulation, visualization and control are common practice to clarify abstract theory, to support and validate designs and to perform experiments and process their results. In our education the Python programming language together with its rich ecosystem is playing a central and powerful role. This paper presents examples of the use of Python in robotics and mechatronics education, including computer vision (OpenCV), 3D dynamics (ODE/VPython), control (python-control), 3D kinematics and robotics (python-robotics) and machine learning (scikit-learn).",,30
277,10.4031/MTSJ.50.4.9,,The euRathlon 2015 grand challenge: The first outdoor multi-domain search and rescue robotics competition— A Marine perspective,ar,Article,Ferri G.,NATO Undersea Research Centre,La Spezia,Italy,Marine Technology Society Journal,Journal,50,81-97,7,"The euRathlon project was an FP7-funded Coordination and Support Action (2013‐2015). Its main aim was to organize outdoor robotics competitions in realistic search and rescue response scenarios for cooperative land, sea, and air robots. Participant teams were requested to test the intelligence and autonomy of their robots in scenarios inspired by the 2011 Fukushima accident. In the project's third year euRathlon culminated with the organization of the first outdoor multi-domain search and rescue robotics competition in the world: the euRathlon 2015 Grand Challenge. Sea, air, and land robots were asked to cooperate acting as a robotic intervention team in a scenario simulating an industrial area ravaged by a tsunami. The Grand Challenge was held in Piombino, Italy, in the surroundings of the Tor del Sale power plant, from September 17 to 25. To prepare the teams for the Grand Challenge, two competitions, dedicated to land and marine robots, respectively, took place in 2013 and 2014. In all the competitions, a strong effort was made in benchmarking what led to meaningful and reasonable scoring principles. Workshops and educational activities complemented the competitions. In this paper, we will focus on the marine robotics competitions of euRathlon with a particular focus on the Grand Challenge. Both technical achievements and general results are presented. The results in terms of team participation and the fruitful effort in dissemination led to establish euRathlon Grand Challenge as the de facto leading search and rescue outdoor robotics competition in Europe.",,30
