doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,openaccess,url,abstract,include?
10.1115/IMECE2020-23390,,Digital twin: Collaborative virtual reality environment for multi-purpose industrial applications,cp,Conference Paper,Kuts V.,Tallinna Tehnikaülikool,Tallinn,Estonia,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",Conference Proceeding,2B-2020,,0,0,https://asmedigitalcollection.asme.org/IMECE/proceedings-abstract/IMECE2020/84492/V02BT02A010/1098965,"Industrial Digital Twins (DT) is the precise virtual representation of the manufacturing environment and mainly consists of the system-level simulation, which combines both manufacturing processes and parametric models of the product. As being one of the pillars of the Industry 4.0 paradigm, DT-s are widely integrated into the existing factories, enhancing the concept of the virtual factories. View from the research perspective is that experiments on the Internet of Things, data acquisition, cybersecurity, telemetry synchronization with physical factories, etc. are being executed in those virtual simulations. Moreover, new ways of interactions and interface to oversee, interact and learn are being developed via the assistance of Virtual Reality (VR) and Augmented Reality (AR) technologies, which are already widely spread on the consumer market. However, already, VR is being used widely in existing commercial software packages and toolboxes to provide students, teachers, operators, engineers, production managers, and researchers with an immersive way of interacting with the factory while the manufacturing simulation is running. This gives a better understanding and more in-depth knowledge of the actual manufacturing processes, not being directly accessing those. However, the virtual presence mentioned above experience is limited to a single person. It does not enable additional functionalities for the simulations, which can be re-planning or even re-programming of the physical factory in an online connection by using VR or AR interfaces. The main aim of the related research paper is to enhance already existing fully synchronized with physical world DT-s with multi-user experience, enabling factory operators to work with and re-program the real machinery from remote locations in a more intuitive way instead thinking about final aim than about the process itself. Moreover, being developed using real-time platform Unity3D, this multiplayer solution gives opportunities for training and educational purposes and is connecting people from remote locations of the world. Use-cases exploits industrial robots placed in the Industrial Virtual and Augmented Reality Laboratory environment of Tallinn University of Technology and a mobile robot solution developed based on a collaboration between the University of Southern Denmark and a Danish company. Experiments are being performed on the connection between Estonia and Denmark while performing reprogramming tasks of the physical heavy industrial robots. Furthermore, the mobile robot solution is demonstrated in a virtual warehouse environment. Developed methods and environments together with the collected data will enable us to widen the use-cases with non-manufacturing scenarios, i.e., smart city and smart healthcare domains, for the creation of a set of new interfaces and multiplayer experiences.",0
10.1016/j.promfg.2020.10.020,,Model-based hardware in the loop control of collaborative robots,cp,Conference Paper,Safeea M.,"LISPEN Laboratoire d'Ingénierie des Systèmes Physiques et Numériques;University of Coimbra, Centre for Mechanical Engineering, Materials and Processes",Aix-en-Provence;Coimbra,France;Portugal,Procedia Manufacturing,Conference Proceeding,51,133-139,0,1,https://www.sciencedirect.com/science/article/pii/S2351978920318758?via%3Dihub,"Simulation and model-based design software packages are widely used in many engineering disciplines. When it comes to robotics those tools are very important for robot design, simulation and the development of control algorithms before the implementation on the real robot. Simulink by MathWorks® is an advanced model-based design tool. It is popular in education, industry and research. In addition, Simulink supports several hardware components, facilitating a rapid deployment of the developed programs on the target hardware. In this study, the SimulinkIIWA interface for controlling KUKA iiwa robots from Simulink is presented and compared to the KUKA Sunrise Toolbox (KST). This interface is based on the User Datagram Protocol (UDP) and allows graphical real-time control of iiwa robots from Simulink without a need for writing any code. The interface supports different robot control modes, at the joints level and at the end-effector (EEF) level. Example applications are also provided showing the flexibility and the ease of use of the proposed interface.",1
10.3390/machines8040082,,"Design, simulation, and preliminary validation of a four-legged robot",ar,Article,Rodinò S.,Università della Calabria,Cosenza,Italy,Machines,Journal,8,ene-16,0,1,https://www.mdpi.com/2075-1702/8/4/82,"This paper outlines the design process for achieving a novel four-legged robot for exploration and rescue tasks. This application is also intended as an educational mean for masters’ students aiming at gaining skills in designing and operating a complex mechatronic system. The design process starts with an analysis of the desired locomotion and definition of the main requirements and constraints. Then, the paper focuses on the key design challenges, including analytical/numerical modeling and simulations of kinematic and dynamic performances. Specific attention is addressed to the manufacturing of a proof-of-concept prototype, including mechanical and control hardware, as well as the development of the needed software for an autonomous operation. Preliminary tests were carried out, to validate the main features required by the final prototype, to prove its feasibility and user-friendliness, as well as the effectiveness of this complex mechatronic design task for successfully engaging students towards learning complex theoretical, numerical, and practical skills. View Full-Text",0
10.1007/s11423-020-09832-y,,Analyzing children’s computational thinking through embodied interaction with technology: a multimodal perspective,ar,Article,Kopcha T.J.,University of Georgia,Athens,United States,Educational Technology Research and Development,Journal,,,0,0,https://link.springer.com/article/10.1007%2Fs11423-020-09832-y,"The purpose of this paper is twofold. We first present a methodological framework for the analysis of embodied interaction with technology captured through video recording. The framework brings together a social semiotic approach to multimodality with the philosophical and theoretical roots of embodied cognition. We then demonstrate the application of the framework by exploring how the computational thinking of two fifth grade learners emerged as an embodied phenomenon during an educational robotics activity. The findings suggest that, for young children, computational thinking was extended to include the structures in the environment and guided by their embodiment of mathematical concepts. Specifically, the participants repeatedly used their bodies to simulate different possibilities for action while incorporating both perceptual and formal multiplicative reasoning strategies to conceptualize the robot’s movements. Implications for the design of embodied educational robotics activities and future application of the methodological framework are discussed.",0
10.1515/pjbr-2020-0024,,A revolution in sex education using sex robots,ar,Article,Jacquerye A.,Free Universities of Brussels,Brussels,Belgium,Paladyn,Journal,11,351-356,0,1,https://www.degruyter.com/document/doi/10.1515/pjbr-2020-0024/html,"After more than four decades of school sex education programs, there is still a great deal of inadequate information around, together with mixed messages and general confusion. Topics covered have ranged from “no sex” to “safe sex”, and there has been a tendency for pupils to drift into the “alternative” areas of pornographic media. This approach may have contributed to generations of women and men finding themselves, in adult life, living with unresolved sexual problems caused by a truncated and disorderly “education”. The arrival of robots presents an opportunity to reconsider the way in which sexuality is taught and to introduce an innovative and ethical educational practice. This article proposes a conceptual framework where there can be an extension of medical simulation toward sex education based on advanced sex robots, offering a dynamic, effective and ethical teaching method. This article considers why, how and where as well as what is workable and technically feasible. The target is that, with the help of a new generation of robots, a fulfilling love life will be accessible to every man and woman. The engagement of both, the simulation community itself and the political will, is vital to ensure that a more enlightened and emotionally intelligent sex education can become a reality in the near future.",0
10.1016/j.procir.2020.02.215,,Project-based learning in an engineering-design course - Developing mechanical- engineering graduates for the world of work,cp,Conference Paper,Kuppuswamy R.,University of Cape Town,Cape Town,South Africa,Procedia CIRP,Conference Proceeding,91,565-570,0,1,https://www.sciencedirect.com/science/article/pii/S2212827120308672?via%3Dihub,"This paper explores the use of project-based learning as an effective pedagogy to integrate institutional curriculum in a mechanical engineering design course and the skills demands for the world of work. Current engineering education institutions produce engineers who are great scientists – knowledgeable in engineering science, mathematics and analytical techniques, and research, but are nonetheless mediocre in the design of components, processes, or systems. In this paper we argue that the engineering education design curriculum, through project-based learning, offers students the opportunities to experience engineering design the way it is practiced and simulated in industry. Data for the study constitutes analyses, using three categories: knowledge, skills, and values, of the students’ performance in a mechanical engineering product design course. Students were required to: Design a 21/2 axis Basic SCARA ROBOT (Selective Compliance Assembly Robot Arm) for a given application. A survey from graduate students working in industry shows that that project-based learning, enabled them to effectively function in an industrial atmosphere where designing products were the mainstay. In addition, a one-way ANOVA test shows that there were strong associations observed in the development of skills between: knowledge and skills (p = 0.001); and skills and values (p = 0.0008).",0
10.1007/s11701-020-01113-3,,An evaluation of live porcine simulation training for robotic surgery,ar,Article,Raison N.,King's College London,London,United Kingdom,Journal of Robotic Surgery,Journal,,,0,1,https://link.springer.com/article/10.1007%2Fs11701-020-01113-3,"To assess the role of live porcine simulation in robotic surgical skills training. A qualitative and quantitative survey was conducted of participants of a live porcine robotic simulation course undertaken in a regional training centre. Data on participants’ experience, robotic surgical ability, the educational impact and outcomes from the course were collected. Thirty-nine participants from four different countries completed the survey. Clinical experience varied; however, prior robotic surgical experience (median 0 cases, range 0–100) and technical ability were low. The perceived usefulness, effectiveness and realism of the training course were all highly scored. Participants rated the most useful course components as port placement and docking, basic robotic skills training and repair of a bladder injury. Training resulted in significant increases in technical ability (p < 0.0001). Following the course, 49% of participants continued to either train or perform robotic surgery. This survey demonstrates that live porcine simulation for robotic surgery is a highly valued, acceptable and feasible form of training. The majority of participants were relatively inexperienced but nonetheless significant improvements in technical ability were reported. The results of this survey support the use of live porcine training for robotic surgery.",0
10.1080/10494820.2020.1761836,,Low-cost VR system for interactive education of manual assembly procedure,ar,Article,Grajewski D.,Politechnika Poznanska,Poznan,Poland,Interactive Learning Environments,Journal,,,0,0,https://www.tandfonline.com/doi/full/10.1080/10494820.2020.1761836,"The article presents the concept and first results of tests of a Virtual Reality system dedicated for interactive education of manual assembly procedure. The presented solution is based on the use of a Delta robot. The main task of the robot is to simulate the shape of virtual objects as an alternative to haptic devices. The manipulator with parallel kinematics is integrated with low-cost VR equipment intended for visualization (HMD) and tracking the position of real objects (optical tracking system), and also provides manipulation of physical models (representing digital data). Experimental tests were conducted with special attention to touch interaction between the user and the end effector of the robot. An interactive VR application has been prepared for the simulation of the developed test scenarios, during which the participant of the virtual scene interacted with the simulated object. Manipulator task was to move to a location enabling such interaction. The scenario of virtual training of procedural task was also performed. The purpose of the test was to demonstrate whether the solution could be applied to work-oriented training at the production stand.",0
10.1007/s11701-020-01085-4,,Demonstrating the effectiveness of the fundamentals of robotic surgery (FRS) curriculum on the RobotiX Mentor Virtual Reality Simulation Platform,ar,Article,Martin J.R.,Indiana University School of Medicine,Indianapolis,United States,Journal of Robotic Surgery,Journal,,,0,0,https://link.springer.com/article/10.1007%2Fs11701-020-01085-4,"Fundamentals of robotic surgery (FRS) is a proficiency-based progression curriculum developed by robotic surgery experts from multiple specialty areas to address gaps in existing robotic surgery training curricula. The RobotiX Mentor is a virtual reality training platform for robotic surgery. Our aims were to determine if robotic surgery novices would demonstrate improved technical skills after completing FRS training on the RobotiX Mentor, and to compare the effectiveness of FRS across training platforms. An observational, pre-post design, multi-institutional rater-blinded trial was conducted at two American College of Surgeons Accredited Education Institutes-certified simulation centers. Robotic surgery novices (n = 20) were enrolled and trained to expert-derived benchmarks using FRS on the RobotiX Mentor. Participants’ baseline skill was assessed before (pre-test) and after (post-test) training on an avian tissue model. Tests were video recorded and graded by blinded raters using the Global Evaluative Assessment of Robotic Skills (GEARS) and a 32-criteria psychomotor checklist. Post hoc comparisons were conducted against previously published comparator groups. On paired-samples T tests, participants demonstrated improved performance across all GEARS domains (p < 0.001 to p = 0.01) and for time (p < 0.001) and errors (p = 0.003) as measured by psychometric checklist. By ANOVA, improvement in novices’ skill after FRS training on the RobotiX Mentor was not inferior to improvement reported after FRS training on previously published platforms. Completion of FRS on the RobotiX Mentor resulted in improved robotic surgery skills among novices, proving effectiveness of training. These data provide additional validity evidence for FRS and support use of the RobotiX Mentor for robotic surgery skill acquisition.",0
10.1007/978-3-030-35990-4_41,,Development of an AlphaBot2 Simulator for RPi Camera and Infrared Sensors,cp,Conference Paper,Rafael A.,Universidade do Porto,Porto,Portugal,Advances in Intelligent Systems and Computing,Book Series,1092 AISC,502-514,1,0,https://link.springer.com/chapter/10.1007%2F978-3-030-35990-4_41,"In recent years robots have been used as a tool for teaching purposes, motivating the development of fully virtual environments for combined real/simulated robotics teaching. The AlphaBot2 Raspberry Pi (RPi), a robot used for education, has no currently available simulator. A Gazebo simulator was produced and a ROS framework was implemented for hardware abstraction and control of low-level modules facilitating students control of the robot’s physical behaviours in the real and simulated robot, simultaneously. For the demonstration of the basic model operation, an algorithm for detection of obstacles and lines was implemented for the IR sensors, however, some discrepancies in a line track timed test were detected justifying the need for further work in modelling and performance assessment. Despite that, the implemented ROS structure was verified to be functional in the simulation and the real AlphaBot2 for its motion control, through the input sensors and camera.",1
10.1007/978-3-030-35990-4_39,,Robot@Factory Lite: An Educational Approach for the Competition with Simulated and Real Environment,cp,Conference Paper,Braun J.,Universidade Tecnologica Federal do Parana,Curitiba,Brazil,Advances in Intelligent Systems and Computing,Book Series,1092 AISC,478-489,2,0,https://link.springer.com/chapter/10.1007%2F978-3-030-35990-4_39,"Teaching based on challenges and competitions is one of the most exciting and promising methods for students. In this paper, a competition of the Portuguese Robotics Open is addressed and a solution is proposed. The Robot@Factory Lite is a new challenge and accepts participants from secondary schools (Rookie) and universities. The concepts of simulation, hardware-in-the-loop and timed finite state machine are presented and validated in the real robot prototype. The aim of this paper is to disseminate the developed solution in order to attract more students to STEM educational program.",1
10.1007/978-3-030-35990-4_40,,Web Based Robotic Simulator for Tactode Tangible Block Programming System,cp,Conference Paper,Alves M.,Universidade do Porto,Porto,Portugal,Advances in Intelligent Systems and Computing,Book Series,1092 AISC,490-501,1,0,https://link.springer.com/chapter/10.1007%2F978-3-030-35990-4_40,"Nowadays, with the increase of technology, it is important to adapt children and their education to this development. This article proposes programming blocks for young students to learn concepts related to math and technology in an easy and funny way, using a Web Application and a robot.

The students can build a puzzle, with tangible tiles, giving instructions for the robot execute. Then, it is possible to take a photograph of the puzzle and upload it on the application. This photograph is processed and converted in executable code for the robot that can be simulated in the app by the virtual robot or performed in the real robot.",1
